Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,4.25,4.25,4.125,4.125,4.125,10600
2000-01-04,4.125,4.125,3.875,3.9375,3.9375,23200
2000-01-05,3.875,3.9375,3.875,3.875,3.875,6000
2000-01-06,3.875,4.0,3.8125,4.0,4.0,108900
2000-01-07,3.9375,4.1875,3.9375,4.125,4.125,13800
2000-01-10,4.25,4.25,4.125,4.1875,4.1875,9100
2000-01-11,4.1875,4.4375,4.125,4.375,4.375,40600
2000-01-12,4.0,4.25,4.0,4.1875,4.1875,19100
2000-01-13,4.0,4.0,3.875,3.875,3.875,21500
2000-01-14,3.875,4.375,3.875,4.375,4.375,112800
2000-01-18,4.3125,5.125,4.3125,5.0,5.0,56600
2000-01-19,5.3125,6.125,5.25,6.0,6.0,94300
2000-01-20,5.9375,6.25,5.875,6.0,6.0,141000
2000-01-21,6.0,6.0,5.75,5.875,5.875,20400
2000-01-24,5.875,6.125,5.75,6.125,6.125,122400
2000-01-25,6.0,6.0625,5.75,5.8125,5.8125,36700
2000-01-26,5.9375,8.5,5.9375,8.0,8.0,356600
2000-01-27,7.9375,7.9375,7.0625,7.5,7.5,91700
2000-01-28,7.375,7.375,7.0,7.125,7.125,49500
2000-01-31,7.125,7.5,7.0,7.0,7.0,25700
2000-02-01,7.0,8.25,6.75,7.875,7.875,134200
2000-02-02,7.9375,8.9375,7.9375,8.6875,8.6875,86900
2000-02-03,9.0,10.25,8.75,10.0625,10.0625,193100
2000-02-04,10.125,10.1875,9.75,10.0,10.0,67500
2000-02-07,9.875,10.125,9.625,10.0625,10.0625,35700
2000-02-08,10.0,10.0,9.25,9.875,9.875,31200
2000-02-09,9.75,9.75,8.75,8.75,8.75,54300
2000-02-10,8.5,9.375,8.25,9.0,9.0,36300
2000-02-11,9.375,9.625,9.25,9.375,9.375,33700
2000-02-14,9.375,9.5,9.0,9.125,9.125,22000
2000-02-15,9.0,9.5,9.0,9.375,9.375,23900
2000-02-16,9.5,9.75,9.5,9.75,9.75,11600
2000-02-17,9.75,10.0625,9.75,10.0,10.0,65800
2000-02-18,10.0,10.75,10.0,10.625,10.625,137200
2000-02-22,10.625,10.75,9.5,9.9375,9.9375,56100
2000-02-23,10.0,10.25,9.8125,9.8125,9.8125,25800
2000-02-24,9.875,9.875,9.4375,9.75,9.75,20400
2000-02-25,9.875,9.875,9.4375,9.4375,9.4375,20600
2000-02-28,9.25,9.25,9.0,9.125,9.125,18000
2000-02-29,9.125,9.75,9.125,9.625,9.625,10800
2000-03-01,9.5,9.625,8.6875,9.0,9.0,32400
2000-03-02,8.875,10.0,8.875,10.0,10.0,48900
2000-03-03,9.75,9.875,9.5,9.75,9.75,25600
2000-03-06,9.875,10.125,9.25,9.5,9.5,42000
2000-03-07,9.75,9.75,8.5,8.875,8.875,56300
2000-03-08,8.75,9.0,8.75,9.0,9.0,8700
2000-03-09,8.875,9.375,8.75,9.25,9.25,16800
2000-03-10,9.25,9.9375,9.25,9.625,9.625,19400
2000-03-13,9.375,10.0,9.375,9.8125,9.8125,10000
2000-03-14,9.8125,10.0,9.8125,10.0,10.0,42800
2000-03-15,9.75,10.0,9.0,9.0,9.0,38300
2000-03-16,9.0,9.3125,9.0,9.125,9.125,23900
2000-03-17,9.25,9.875,9.125,9.875,9.875,9100
2000-03-20,9.75,9.75,9.375,9.625,9.625,18400
2000-03-21,9.5,9.5,9.125,9.4375,9.4375,7600
