Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,47.187,47.187,45.0,45.0,45.0,500
2000-01-04,43.75,46.25,43.75,43.75,43.75,500
2000-01-05,43.75,43.75,43.75,43.75,43.75,0
2000-01-06,43.75,43.75,43.75,43.75,43.75,200
2000-01-07,43.75,43.75,43.75,43.75,43.75,0
2000-01-10,43.75,43.75,43.75,43.75,43.75,0
2000-01-11,43.75,43.75,43.75,43.75,43.75,0
2000-01-12,45.0,45.0,45.0,45.0,45.0,0
2000-01-13,45.0,45.0,45.0,45.0,45.0,0
2000-01-14,50.0,50.0,50.0,50.0,50.0,100
2000-01-18,53.75,53.75,51.875,51.875,51.875,0
2000-01-19,51.875,51.875,51.875,51.875,51.875,0
2000-01-20,52.5,52.5,51.875,52.5,52.5,200
2000-01-21,56.25,56.25,55.0,55.0,55.0,0
2000-01-24,55.0,55.0,55.0,55.0,55.0,0
2000-01-25,55.0,55.0,55.0,55.0,55.0,0
2000-01-26,58.75,85.0,58.75,77.811996,77.811996,2800
2000-01-27,81.875,82.5,73.125,73.125,73.125,1400
2000-01-28,73.75,73.75,73.125,73.125,73.125,300
2000-01-31,73.125,73.125,73.125,73.125,73.125,0
2000-02-01,77.5,77.5,74.375,74.375,74.375,0
2000-02-02,72.5,72.5,72.5,72.5,72.5,0
2000-02-03,72.5,72.5,61.875,61.875,61.875,500
2000-02-04,70.0,80.0,70.0,70.0,70.0,300
2000-02-07,68.75,68.75,66.25,66.25,66.25,400
2000-02-08,66.25,66.25,66.25,66.25,66.25,0
2000-02-09,65.0,65.0,63.75,63.75,63.75,100
2000-02-10,64.375,64.375,62.5,62.5,62.5,300
2000-02-11,60.625,60.625,60.625,60.625,60.625,0
2000-02-14,58.75,70.0,57.5,70.0,70.0,500
2000-02-15,70.0,70.0,70.0,70.0,70.0,0
2000-02-16,70.0,70.0,66.25,66.25,66.25,400
2000-02-17,69.686996,69.686996,69.686996,69.686996,69.686996,100
2000-02-18,69.686996,69.686996,69.686996,69.686996,69.686996,0
2000-02-22,69.686996,69.686996,69.686996,69.686996,69.686996,0
2000-02-23,69.686996,69.686996,61.25,63.125,63.125,400
2000-02-24,63.75,70.0,63.75,69.686996,69.686996,1500
2000-02-25,69.686996,69.686996,67.811996,67.811996,67.811996,0
2000-02-28,69.686996,70.0,63.125,63.125,63.125,600
2000-02-29,61.875,61.875,61.875,61.875,61.875,0
2000-03-01,70.0,70.0,70.0,70.0,70.0,0
2000-03-02,63.125,72.5,63.125,72.186996,72.186996,1700
2000-03-03,73.125,73.125,72.5,72.5,72.5,100
2000-03-06,70.311996,70.311996,67.811996,67.811996,67.811996,600
2000-03-07,67.811996,67.811996,58.75,58.75,58.75,500
2000-03-08,57.5,58.75,52.5,58.75,58.75,600
2000-03-09,60.625,60.625,52.5,55.0,55.0,1800
2000-03-10,55.0,70.0,55.0,70.0,70.0,2400
2000-03-13,63.75,63.75,51.25,57.5,57.5,3000
2000-03-14,57.5,58.75,56.25,56.25,56.25,1300
2000-03-15,58.75,58.75,55.0,55.0,55.0,100
2000-03-16,55.0,61.25,55.0,60.625,60.625,700
2000-03-17,61.25,65.0,57.5,60.0,60.0,1400
2000-03-20,61.092999,61.092999,59.687,59.687,59.687,200
2000-03-21,57.5,57.5,57.5,57.5,57.5,100
2000-03-22,60.625,60.625,60.625,60.625,60.625,100
2000-03-23,60.0,62.5,60.0,62.5,62.5,0
2000-03-24,67.5,73.75,66.25,73.125,73.125,500
2000-03-27,72.5,78.125,72.5,76.561996,76.561996,1000
2000-03-28,77.343002,78.436996,67.186996,67.186996,67.186996,1500
2000-03-29,69.686996,74.686996,65.0,68.75,68.75,2300
2000-03-30,67.5,68.436996,67.5,68.125,68.125,0
2000-03-31,67.5,67.5,67.5,67.5,67.5,0
2000-04-03,68.75,68.75,68.75,68.75,68.75,0
2000-04-04,71.561996,71.561996,71.561996,71.561996,71.561996,100
2000-04-05,68.75,68.75,68.75,68.75,68.75,0
2000-04-06,68.75,68.75,68.75,68.75,68.75,0
2000-04-07,68.75,75.0,68.75,72.5,72.5,500
2000-04-10,70.0,70.0,68.75,68.75,68.75,300
2000-04-11,69.375,71.25,69.375,71.25,71.25,0
2000-04-12,68.75,75.625,65.625,69.686996,69.686996,3400
2000-04-13,70.0,70.0,70.0,70.0,70.0,0
2000-04-14,69.061996,69.061996,55.0,57.5,57.5,300
2000-04-17,58.75,67.5,58.75,64.375,64.375,300
2000-04-18,70.0,70.0,70.0,70.0,70.0,0
2000-04-19,72.5,75.0,70.0,73.75,73.75,1900
2000-04-20,75.0,75.0,68.125,69.375,69.375,300
2000-04-24,69.375,69.375,69.375,69.375,69.375,0
2000-04-25,69.375,69.375,69.375,69.375,69.375,0
