Date,Open,High,Low,Close,Adj Close,Volume
2000-11-30,8.75,13.0,7.875,11.5,11.5,314000
2000-12-01,11.3125,11.3125,9.0,9.1875,9.1875,141800
2000-12-04,9.125,9.25,7.5,7.9375,7.9375,119000
2000-12-05,8.2187,8.2187,7.875,8.125,8.125,67200
2000-12-06,8.1093,9.8125,7.875,8.5625,8.5625,98000
2000-12-07,8.875,8.875,8.0,8.25,8.25,45300
2000-12-08,7.875,9.25,7.875,9.25,9.25,97000
2000-12-11,9.2187,10.125,9.0,10.125,10.125,367400
2000-12-12,9.8281,11.5,9.8125,11.0,11.0,195600
2000-12-13,11.0,11.125,9.875,9.875,9.875,174400
2000-12-14,10.7812,10.875,9.6875,9.75,9.75,78400
2000-12-15,9.75,10.0,9.6875,10.0,10.0,68000
2000-12-18,10.25,10.25,9.0,9.125,9.125,107500
2000-12-19,9.0625,9.5,8.0,8.0,8.0,122100
2000-12-20,8.5937,8.625,7.5,7.75,7.75,388600
2000-12-21,8.25,8.25,7.5,8.25,8.25,77500
2000-12-22,8.375,9.8437,8.375,8.875,8.875,65900
2000-12-26,8.9375,9.25,8.5,9.0,9.0,31700
2000-12-27,9.125,9.125,8.0312,8.625,8.625,62800
2000-12-28,8.9375,9.25,8.625,9.1875,9.1875,105500
2000-12-29,9.125,9.25,8.875,8.9375,8.9375,48700
2001-01-02,8.875,9.1093,8.75,9.0,9.0,31600
2001-01-03,9.0,9.0,8.4375,8.5,8.5,51400
2001-01-04,8.5156,8.625,8.25,8.5,8.5,176500
2001-01-05,8.5156,8.625,8.125,8.375,8.375,79500
2001-01-08,8.2187,8.3125,7.3125,7.5,7.5,209900
2001-01-09,7.4687,7.4687,6.5,6.75,6.75,134200
2001-01-10,6.5156,7.375,6.25,7.0,7.0,45900
2001-01-11,7.3125,7.3125,6.625,6.8125,6.8125,63600
2001-01-12,7.125,7.125,6.625,7.0,7.0,42200
2001-01-16,6.6875,7.125,6.625,7.0625,7.0625,50400
2001-01-17,7.3125,7.5,6.9375,7.0,7.0,133100
2001-01-18,7.375,7.625,7.0,7.5,7.5,76800
2001-01-19,7.2656,7.375,6.75,7.0,7.0,32200
2001-01-22,7.1406,7.25,6.8125,7.0,7.0,71700
2001-01-23,7.25,7.3125,7.0,7.3125,7.3125,60800
2001-01-24,7.2812,7.625,7.25,7.625,7.625,65000
2001-01-25,7.625,7.625,7.3125,7.625,7.625,20300
2001-01-26,7.625,7.625,7.375,7.625,7.625,17000
2001-01-29,7.375,7.625,7.3125,7.625,7.625,14500
2001-01-30,7.5,7.625,7.5,7.625,7.625,27800
2001-01-31,7.625,7.75,7.3125,7.625,7.625,29600
2001-02-01,7.5468,7.75,7.125,7.5,7.5,59300
2001-02-02,7.75,7.875,7.375,7.75,7.75,9100
2001-02-05,7.875,7.875,7.3125,7.7968,7.7968,12100
2001-02-06,7.8125,7.8125,7.0312,7.6875,7.6875,17600
2001-02-07,7.6406,7.875,7.5,7.875,7.875,30600
2001-02-08,7.8437,7.875,7.5625,7.6875,7.6875,15600
2001-02-09,7.6562,7.6562,7.125,7.125,7.125,15500
2001-02-12,7.4375,7.4375,6.625,6.9375,6.9375,50900
2001-02-13,6.6562,7.0625,6.625,6.875,6.875,84200
2001-02-14,7.0,7.0,6.8125,6.8125,6.8125,30600
2001-02-15,7.0156,7.0625,6.625,6.625,6.625,71500
2001-02-16,6.625,6.875,6.625,6.75,6.75,123200
2001-02-20,7.0,7.0,6.625,6.6562,6.6562,78600
2001-02-21,6.6562,6.6562,6.25,6.5625,6.5625,74500
2001-02-22,6.8437,6.875,6.25,6.625,6.625,13300
2001-02-23,6.8593,6.875,6.5,6.875,6.875,1200
2001-02-26,6.5312,6.9062,6.5,6.9062,6.9062,13500
2001-02-27,6.7031,6.75,6.5,6.5,6.5,2900
2001-02-28,6.875,6.875,6.375,6.625,6.625,41800
2001-03-01,6.8125,6.875,6.4375,6.4375,6.4375,31100
2001-03-02,6.375,6.8125,6.375,6.625,6.625,58300
2001-03-05,6.5468,7.0,6.5,7.0,7.0,21200
2001-03-06,7.5,7.5,6.5625,6.5625,6.5625,30200
2001-03-07,6.8125,7.0,6.5625,6.875,6.875,24500
2001-03-08,6.9843,6.9843,6.375,6.4375,6.4375,82000
2001-03-09,6.375,6.625,6.375,6.375,6.375,400
2001-03-12,6.375,6.4375,6.25,6.375,6.375,11300
2001-03-13,6.5,6.625,5.875,6.5,6.5,52700
2001-03-14,6.375,6.375,5.875,5.8906,5.8906,8200
2001-03-15,5.9843,6.25,5.9375,6.0,6.0,3900
2001-03-16,6.0,6.125,5.75,6.0,6.0,16000
2001-03-19,5.875,5.9375,5.75,5.75,5.75,17300
2001-03-20,5.9531,5.9687,5.6562,5.8125,5.8125,25200
2001-03-21,5.625,5.75,4.75,4.875,4.875,42400
2001-03-22,4.75,5.125,4.5625,4.8125,4.8125,26400
2001-03-23,5.0625,5.25,4.625,5.125,5.125,16000
2001-03-26,4.5,5.125,4.1718,5.0625,5.0625,23700
2001-03-27,5.125,5.1875,5.0,5.0625,5.0625,222100
2001-03-28,5.0625,6.875,5.0,5.75,5.75,105300
2001-03-29,5.75,5.75,4.8125,4.8125,4.8125,48100
2001-03-30,5.0,5.5,5.0,5.375,5.375,19800
2001-04-02,5.375,5.75,5.25,5.75,5.75,14200
2001-04-03,5.75,5.75,5.0625,5.1875,5.1875,109900
2001-04-04,5.1875,5.8125,4.75,4.9375,4.9375,1301000
2001-04-05,5.1875,5.1875,5.0,5.0,5.0,79400
2001-04-06,5.1875,5.1875,4.75,5.0156,5.0156,11900
2001-04-09,5.0,5.0,4.9,5.0,5.0,11200
2001-04-10,4.9,5.1,4.9,5.05,5.05,24600
2001-04-11,5.09,5.09,4.8,5.0,5.0,29100
2001-04-12,5.0,5.09,4.85,5.09,5.09,83100
2001-04-16,4.99,5.45,4.95,5.1,5.1,21600
2001-04-17,5.5,5.5,5.0,5.22,5.22,4100
2001-04-18,5.3,5.75,5.1,5.35,5.35,43400
2001-04-19,5.38,5.45,5.32,5.4,5.4,130600
2001-04-20,5.44,5.5,5.35,5.41,5.41,16800
2001-04-23,5.5,5.5,5.3,5.4,5.4,37500
2001-04-24,5.35,5.8,5.35,5.8,5.8,18400
2001-04-25,5.88,6.0,5.65,6.0,6.0,21700
2001-04-26,6.25,6.4,5.95,6.4,6.4,82200
2001-04-27,6.4,6.65,6.25,6.65,6.65,9700
2001-04-30,6.57,7.45,6.57,7.3,7.3,92100
2001-05-01,7.01,7.35,6.56,7.0,7.0,62600
2001-05-02,6.56,7.26,5.9,6.45,6.45,43900
2001-05-03,5.97,6.15,5.97,5.97,5.97,10800
2001-05-04,5.98,5.98,5.1,5.31,5.31,17300
2001-05-07,5.74,6.53,5.74,6.45,6.45,43000
2001-05-08,6.98,6.98,6.21,6.8,6.8,11600
2001-05-09,6.8,6.8,6.21,6.28,6.28,6100
2001-05-10,6.3,6.5,5.88,6.29,6.29,37300
2001-05-11,6.3,6.4,6.3,6.35,6.35,4900
2001-05-14,6.0,6.65,6.0,6.62,6.62,19600
2001-05-15,6.62,6.95,6.4,6.93,6.93,48400
2001-05-16,6.81,6.9,5.8,6.6,6.6,228800
2001-05-17,6.8,6.8,6.56,6.7,6.7,28400
2001-05-18,6.85,7.05,6.81,6.92,6.92,227600
2001-05-21,6.95,7.27,6.95,7.1,7.1,105000
2001-05-22,7.25,7.45,7.0,7.28,7.28,187100
2001-05-23,7.2,7.21,6.74,7.2,7.2,180300
2001-05-24,7.25,7.7,7.0,7.7,7.7,292900
2001-05-25,7.87,8.2,7.75,8.13,8.13,435600
2001-05-29,8.16,8.25,8.05,8.2,8.2,91400
2001-05-30,8.2,8.2,7.8,7.95,7.95,222700
2001-05-31,7.85,8.1,7.76,7.99,7.99,69600
2001-06-01,7.8,8.02,7.75,7.9,7.9,64700
2001-06-04,7.76,8.22,7.75,8.11,8.11,44100
2001-06-05,7.87,8.31,7.87,8.3,8.3,118200
2001-06-06,8.3,8.33,8.01,8.3,8.3,260900
2001-06-07,8.3,8.3,7.55,7.87,7.87,82000
2001-06-08,7.8,7.92,7.65,7.7,7.7,39800
2001-06-11,7.7,7.7,7.4,7.45,7.45,54000
2001-06-12,7.2,7.77,6.81,7.77,7.77,173400
2001-06-13,8.2,8.2,7.5,7.75,7.75,20000
2001-06-14,7.95,7.95,7.5,7.84,7.84,38400
2001-06-15,7.9,8.15,6.75,6.88,6.88,54800
2001-06-18,6.84,7.35,6.75,7.04,7.04,16200
2001-06-19,7.14,7.61,6.75,7.2,7.2,123800
2001-06-20,7.35,7.38,7.0,7.16,7.16,414400
2001-06-21,7.15,7.3,7.1,7.25,7.25,67000
2001-06-22,7.3,7.3,7.06,7.3,7.3,95500
2001-06-25,7.05,8.37,7.05,8.19,8.19,87600
2001-06-26,8.47,9.5,8.25,8.74,8.74,238500
2001-06-27,8.74,8.74,7.86,8.13,8.13,126600
2001-06-28,8.24,8.25,7.56,8.05,8.05,140800
