Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,29.625,29.875,26.75,28.0,28.0,89800
2000-01-04,27.25,27.375,26.375,27.0,27.0,96000
2000-01-05,27.0625,27.75,23.5,27.0,27.0,149200
2000-01-06,26.375,29.0,26.125,28.375,28.375,98800
2000-01-07,25.0625,25.0625,18.625,21.625,21.625,2698300
2000-01-10,21.5,24.25,20.9375,24.25,24.25,358400
2000-01-11,24.375,26.0,24.25,25.25,25.25,263500
2000-01-12,25.0,29.4375,24.625,27.375,27.375,265500
2000-01-13,27.375,28.375,26.875,28.375,28.375,199000
2000-01-14,28.1875,29.0,28.0,28.5,28.5,114700
2000-01-18,28.375,29.5,28.375,29.125,29.125,95500
2000-01-19,29.1875,30.375,28.75,29.875,29.875,125300
2000-01-20,30.5,30.5,26.0,27.875,27.875,79100
2000-01-21,27.5625,28.0,24.625,26.0,26.0,168900
2000-01-24,26.0,26.5,24.4375,24.6875,24.6875,123200
2000-01-25,24.875,25.375,24.0,24.75,24.75,200600
2000-01-26,24.75,25.0,24.5,24.625,24.625,31400
2000-01-27,25.0,25.0,21.75,23.25,23.25,119600
2000-01-28,23.25,23.25,22.375,22.375,22.375,70900
2000-01-31,22.375,22.75,20.25,21.0625,21.0625,144800
2000-02-01,22.0625,22.25,21.25,22.1875,22.1875,135400
2000-02-02,22.0,22.25,21.3125,21.5,21.5,67200
2000-02-03,21.5,23.125,20.375,21.75,21.75,220900
2000-02-04,22.75,26.0,21.125,21.75,21.75,166400
2000-02-07,21.625,22.5,21.625,21.8125,21.8125,142900
2000-02-08,25.0625,27.0,24.75,25.0,25.0,734700
2000-02-09,25.875,28.0,25.5,27.875,27.875,158800
2000-02-10,27.375,28.125,26.0,26.75,26.75,148400
2000-02-11,26.5,28.875,26.375,27.0,27.0,264300
2000-02-14,27.75,27.8125,26.5,27.625,27.625,65500
2000-02-15,27.75,27.75,26.0,27.0,27.0,55100
2000-02-16,26.0,28.0,25.0,27.0,27.0,157200
2000-02-17,26.0,28.5,25.5625,26.125,26.125,80700
2000-02-18,26.125,30.0,26.125,27.25,27.25,133500
2000-02-22,27.5,28.75,27.5,28.4375,28.4375,69400
2000-02-23,28.75,29.25,25.5,27.125,27.125,61900
2000-02-24,27.75,28.5,26.0,27.75,27.75,57300
2000-02-25,27.0,28.0,26.25,26.75,26.75,87200
2000-02-28,26.625,28.0,26.0,27.5,27.5,72600
2000-02-29,27.0,27.9375,25.75,27.0,27.0,139200
2000-03-01,27.25,27.5,25.5,26.0,26.0,75800
2000-03-02,27.6875,28.0,27.0,28.0,28.0,179200
2000-03-03,27.5,34.25,27.5,32.75,32.75,430900
2000-03-06,33.0,34.25,31.5,32.75,32.75,134100
2000-03-07,33.6875,34.5,30.625,30.625,30.625,200300
2000-03-08,30.9375,33.0,28.0,33.0,33.0,106200
2000-03-09,35.0,37.25,30.25,31.875,31.875,226800
2000-03-10,32.0,32.125,28.0,29.875,29.875,127700
2000-03-13,28.125,29.875,28.125,29.125,29.125,27800
2000-03-14,30.25,31.625,25.0,30.0625,30.0625,424500
2000-03-15,30.125,30.8125,29.0,30.125,30.125,237700
2000-03-16,30.125,31.375,28.0,31.375,31.375,80700
2000-03-17,28.5,31.0,27.5,29.9375,29.9375,40500
2000-03-20,29.75,29.9375,26.0,26.0625,26.0625,78100
2000-03-21,26.5937,28.5625,25.875,28.5,28.5,51700
2000-03-22,28.75,29.5,26.5,29.5,29.5,36800
2000-03-23,26.625,30.25,26.625,29.25,29.25,56700
2000-03-24,29.25,30.0,28.625,29.75,29.75,64500
2000-03-27,28.625,30.0,28.0,29.5,29.5,23900
2000-03-28,28.375,30.0,28.375,30.0,30.0,37200
2000-03-29,30.0,30.0,28.375,28.375,28.375,194100
2000-03-30,28.0,28.375,26.5,26.75,26.75,100000
2000-03-31,26.625,27.3125,26.0,27.3125,27.3125,144800
2000-04-03,27.0,29.0,25.125,25.75,25.75,148400
2000-04-04,25.5,25.75,21.125,23.75,23.75,124300
2000-04-05,22.375,24.9375,22.25,24.125,24.125,76300
2000-04-06,23.5,24.9375,22.875,23.75,23.75,24100
2000-04-07,24.0,24.0,22.8125,23.5,23.5,42600
2000-04-10,24.0,24.625,22.6875,24.5,24.5,42800
2000-04-11,24.0,24.0,21.0,23.125,23.125,128300
2000-04-12,22.875,23.0,20.0,21.4375,21.4375,254900
2000-04-13,20.0,21.4375,19.0,19.0,19.0,250100
2000-04-14,18.25,18.25,15.5,16.5,16.5,339600
2000-04-17,16.375,16.6875,15.5,16.25,16.25,187200
2000-04-18,16.5,24.0,15.875,21.875,21.875,220600
2000-04-19,22.0,24.0,22.0,23.0,23.0,39600
2000-04-20,23.0,24.25,21.25,22.25,22.25,49000
2000-04-24,22.0625,23.5,21.0,22.125,22.125,48900
2000-04-25,22.25,23.5,21.875,23.1875,23.1875,56600
2000-04-26,22.25,23.0,22.25,23.0,23.0,100900
2000-04-27,22.5,24.75,22.0,23.25,23.25,21500
2000-04-28,24.125,24.25,22.875,24.25,24.25,52600
2000-05-01,24.625,25.25,23.875,25.0,25.0,30400
2000-05-02,23.5,24.0,23.0,23.5,23.5,289500
2000-05-03,22.875,22.875,20.0,21.5,21.5,52800
2000-05-04,22.0,24.125,22.0,24.0,24.0,28400
2000-05-05,21.75,24.5,21.75,24.0,24.0,32100
2000-05-08,22.5312,24.25,22.5,23.4375,23.4375,10600
2000-05-09,22.5,24.75,22.375,24.375,24.375,24300
2000-05-10,24.75,24.75,22.0,23.25,23.25,35200
2000-05-11,22.125,24.75,22.125,24.25,24.25,17600
2000-05-12,24.625,25.25,23.5,25.0,25.0,34900
2000-05-15,23.9375,26.75,23.9375,25.5,25.5,41900
2000-05-16,26.125,26.5,25.25,25.375,25.375,10100
2000-05-17,26.0,26.0,24.125,24.125,24.125,14300
2000-05-18,25.375,25.9375,24.0156,25.0,25.0,13000
2000-05-19,24.125,24.9375,23.5,23.5,23.5,29100
2000-05-22,23.5,24.3125,22.0,23.25,23.25,78000
2000-05-23,22.5,24.25,22.5,24.0625,24.0625,53600
2000-05-24,23.25,23.9375,21.3125,21.875,21.875,108500
2000-05-25,23.625,24.0,22.625,24.0,24.0,23400
2000-05-26,23.0,23.0,21.0625,21.875,21.875,73700
2000-05-30,22.125,23.75,22.125,22.5,22.5,16000
2000-05-31,23.75,23.75,21.625,23.75,23.75,16700
2000-06-01,23.75,25.5,23.75,25.5,25.5,45900
2000-06-02,25.0,26.375,24.125,26.1875,26.1875,48000
2000-06-05,25.75,28.5625,25.1875,28.5,28.5,44700
2000-06-06,26.9375,28.5,24.5,26.75,26.75,53200
2000-06-07,27.375,28.1875,25.8125,27.5,27.5,27500
2000-06-08,27.75,27.75,25.0,26.3125,26.3125,20400
2000-06-09,27.5,28.0,27.0,27.75,27.75,32000
2000-06-12,28.0,28.0,26.75,28.0,28.0,42500
2000-06-13,27.5,27.625,25.625,27.625,27.625,21700
2000-06-14,27.875,27.875,26.0,26.5625,26.5625,15700
2000-06-15,26.9375,27.25,25.5,26.5,26.5,40100
2000-06-16,26.5312,27.375,25.5625,26.25,26.25,34500
2000-06-19,26.8125,27.625,26.125,27.625,27.625,39300
2000-06-20,27.75,27.75,26.125,27.5,27.5,100600
2000-06-21,27.875,27.875,26.3125,27.0,27.0,35700
2000-06-22,27.5,27.6875,26.125,26.5,26.5,27200
2000-06-23,27.0,28.0,26.125,27.0,27.0,41100
2000-06-26,28.0,28.9375,26.3125,28.9375,28.9375,165600
2000-06-27,29.0,29.625,28.0,29.0625,29.0625,82300
2000-06-28,29.0,29.9375,28.375,29.75,29.75,106400
2000-06-29,29.625,30.875,28.375,29.0,29.0,142500
2000-06-30,30.0,31.75,28.5625,28.6875,28.6875,311300
2000-07-03,29.3437,30.125,29.0,29.0625,29.0625,25100
2000-07-05,28.875,30.0,28.375,28.4375,28.4375,55400
2000-07-06,28.4375,29.375,28.0625,28.625,28.625,42600
2000-07-07,29.375,30.0,28.25,29.0,29.0,41200
2000-07-10,28.6875,31.0,28.6875,29.8906,29.8906,59200
2000-07-11,29.5,31.0625,29.0625,29.625,29.625,34300
2000-07-12,29.75,31.375,28.5,28.75,28.75,226000
2000-07-13,30.0,30.0,28.25,28.875,28.875,32600
2000-07-14,29.9375,30.0,28.5625,29.9375,29.9375,23300
