Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,30.0,30.0,26.25,27.75,27.75,32400
2000-01-04,27.0,29.624399,24.75,24.75,24.75,43400
2000-01-05,27.374399,29.624399,25.124399,27.75,27.75,30200
2000-01-06,29.624399,30.0,27.75,29.624399,29.624399,15400
2000-01-07,29.8116,35.25,29.25,30.75,30.75,48300
2000-01-10,35.25,35.624401,30.75,33.0,33.0,43300
2000-01-11,36.75,45.0,36.0,38.25,38.25,141200
2000-01-12,39.75,40.124401,36.0,39.0,39.0,52400
2000-01-13,41.8116,57.0,37.5,51.0,51.0,207200
2000-01-14,51.374401,53.624401,43.874401,46.5,46.5,99100
2000-01-18,45.374401,52.5,45.0,48.0,48.0,58300
2000-01-19,51.374401,52.5,47.25,48.75,48.75,52500
2000-01-20,48.75,63.0,48.0,60.0,60.0,100900
2000-01-21,64.124397,71.25,57.0,67.5,67.5,166000
2000-01-24,72.75,85.124397,70.5,75.0,75.0,232000
2000-01-25,80.25,82.5,63.0,72.0,72.0,154800
2000-01-26,72.0,82.5,71.25,79.5,79.5,122100
2000-01-27,78.75,79.5,73.874397,75.0,75.0,71700
2000-01-28,74.25,77.25,63.75,69.75,69.75,76600
2000-01-31,72.0,72.75,63.0,66.0,66.0,52200
2000-02-01,66.75,68.25,63.0,65.25,65.25,39400
2000-02-02,65.25,66.75,63.0,65.25,65.25,29200
2000-02-03,66.374397,75.0,65.25,75.0,75.0,68100
2000-02-04,75.0,81.0,72.374397,73.874397,73.874397,52000
2000-02-07,73.874397,84.75,70.5,79.5,79.5,68100
2000-02-08,82.5,96.0,81.75,94.5,94.5,108900
2000-02-09,96.0,110.25,84.75,94.5,94.5,159000
2000-02-10,102.0,111.0,94.5,108.0,108.0,133400
2000-02-11,112.5,120.0,108.0,111.0,111.0,96500
2000-02-14,119.25,119.624397,106.5,108.75,108.75,49400
2000-02-15,106.5,107.624397,90.0,105.0,105.0,116400
2000-02-16,105.0,108.0,96.0,105.75,105.75,50800
2000-02-17,109.5,132.0,108.0,131.25,131.25,208100
2000-02-18,132.75,134.25,120.0,126.0,126.0,124400
2000-02-22,132.0,139.5,127.5,132.0,132.0,127200
2000-02-23,138.75,146.25,127.5,144.75,144.75,155600
2000-02-24,144.75,147.0,129.0,137.25,137.25,94700
2000-02-25,135.75,135.75,124.5,129.75,129.75,56400
2000-02-28,131.624405,132.0,120.75,129.0,129.0,42700
2000-02-29,130.5,138.0,128.25,132.75,132.75,70900
2000-03-01,140.25,159.0,136.5,156.75,156.75,128800
2000-03-02,165.0,178.5,162.75,171.75,171.75,126200
2000-03-03,178.5,178.5,168.0,174.0,174.0,65500
2000-03-06,175.5,214.5,174.0,201.0,201.0,134000
2000-03-07,216.0,225.0,171.0,175.5,175.5,141900
2000-03-08,197.25,199.5,145.5,181.5,181.5,127000
2000-03-09,187.5,190.5,162.0,174.0,174.0,42600
2000-03-10,191.25,192.0,170.25,173.25,173.25,67400
2000-03-13,132.0,172.5,131.25,159.0,159.0,100500
2000-03-14,175.5,177.0,141.75,144.75,144.75,141700
2000-03-15,125.624397,144.0,123.0,127.5,127.5,125600
2000-03-16,127.5,142.5,122.25,126.0,126.0,89200
2000-03-17,130.5,144.75,126.0,144.0,144.0,60600
2000-03-20,148.5,154.5,126.0,130.5,130.5,70000
2000-03-21,120.0,121.5,101.25,106.5,106.5,159500
2000-03-22,110.624397,129.0,109.5,124.5,124.5,89600
2000-03-23,126.0,126.75,115.5,119.25,119.25,42000
2000-03-24,119.25,129.0,115.5,127.874397,127.874397,35300
2000-03-27,130.5,135.0,124.5,126.0,126.0,33700
2000-03-28,126.0,126.75,111.0,114.0,114.0,39900
2000-03-29,117.0,117.0,102.0,107.25,107.25,43000
2000-03-30,102.75,102.75,93.75,96.0,96.0,75700
2000-03-31,98.25,114.0,96.75,114.0,114.0,47900
2000-04-03,116.25,122.25,109.5,111.0,111.0,39900
2000-04-04,111.0,111.75,91.5,99.75,99.75,60100
2000-04-05,95.25,114.0,88.5,101.25,101.25,63700
2000-04-06,112.5,114.0,104.25,107.25,107.25,34800
2000-04-07,114.0,114.75,102.75,103.5,103.5,27800
2000-04-10,99.0,105.0,96.0,102.75,102.75,23600
2000-04-11,102.0,102.75,95.25,96.0,96.0,18500
2000-04-12,95.25,96.0,78.75,81.0,81.0,43100
2000-04-13,81.75,87.0,80.25,84.0,84.0,28900
2000-04-14,78.374397,78.75,59.624401,60.0,60.0,69200
2000-04-17,58.5,78.0,49.874401,75.374397,75.374397,88900
2000-04-18,78.0,88.5,76.5,82.5,82.5,29200
2000-04-19,86.8116,93.0,84.0,87.0,87.0,15800
2000-04-20,89.25,90.0,82.5,84.0,84.0,7900
2000-04-24,84.0,84.0,72.0,72.0,72.0,9200
2000-04-25,81.0,84.0,74.25,84.0,84.0,14100
2000-04-26,84.0,85.5,72.75,76.5,76.5,7600
2000-04-27,73.5,78.0,70.5,76.5,76.5,13400
2000-04-28,78.0,84.0,75.75,82.5,82.5,14100
2000-05-01,84.374397,93.75,84.0,90.0,90.0,20100
2000-05-02,87.75,88.5,84.0,85.5,85.5,9900
2000-05-03,86.25,86.25,72.75,78.75,78.75,9900
2000-05-04,76.5,85.5,75.0,75.75,75.75,20800
2000-05-05,80.25,82.3116,79.124397,81.75,81.75,7400
2000-05-08,82.5,84.0,74.25,77.25,77.25,3700
2000-05-09,78.0,80.25,70.5,72.75,72.75,12200
2000-05-10,72.75,74.624397,71.25,71.624397,71.624397,22300
2000-05-11,72.0,78.75,71.8116,78.75,78.75,12700
2000-05-12,78.75,82.5,77.624397,79.5,79.5,10000
2000-05-15,78.0,82.5,76.5,82.5,82.5,11400
2000-05-16,82.5,84.75,78.0,79.5,79.5,6800
2000-05-17,81.0,81.0,73.5,73.5,73.5,12500
2000-05-18,73.5,76.5,71.624397,72.937202,72.937202,11800
2000-05-19,72.75,73.5,69.75,69.75,69.75,16000
2000-05-22,69.0,72.0,64.5,66.0,66.0,15900
2000-05-23,66.0,70.5,63.0,63.0,63.0,14500
2000-05-24,63.75,64.5,49.5,56.25,56.25,28600
2000-05-25,55.5,61.5,55.124401,58.5,58.5,15900
2000-05-26,57.374401,61.5,52.5,55.874401,55.874401,10000
2000-05-30,59.624401,61.5,56.25,60.0,60.0,19900
2000-05-31,61.5,61.5,57.0,60.0,60.0,58700
2000-06-01,57.0,60.0,55.5,57.0,57.0,12600
2000-06-02,57.0,60.0,57.0,59.25,59.25,19200
2000-06-05,60.0,72.0,58.5,71.25,71.25,22300
2000-06-06,79.5,83.624397,71.25,76.5,76.5,32500
2000-06-07,78.75,82.5,77.25,82.5,82.5,16200
2000-06-08,85.5,88.5,83.25,84.0,84.0,32400
2000-06-09,88.5,88.5,77.25,79.5,79.5,13200
2000-06-12,80.25,81.0,73.5,77.25,77.25,19900
2000-06-13,76.874397,81.0,74.25,79.5,79.5,7500
2000-06-14,82.124397,83.25,78.75,81.0,81.0,7400
2000-06-15,83.25,84.0,81.374397,83.25,83.25,6600
2000-06-16,84.0,84.75,81.0,84.0,84.0,6800
2000-06-19,83.25,86.25,81.75,84.0,84.0,16900
2000-06-20,84.75,95.25,83.25,94.5,94.5,35900
2000-06-21,93.75,108.0,93.75,105.75,105.75,29300
2000-06-22,111.0,118.5,102.75,111.75,111.75,31600
2000-06-23,108.0,114.0,105.0,114.0,114.0,18700
2000-06-26,110.25,115.5,109.5,114.374397,114.374397,28300
2000-06-27,112.5,117.0,111.75,114.0,114.0,21400
2000-06-28,113.8116,114.374397,105.75,111.0,111.0,17400
2000-06-29,113.624397,138.0,107.25,132.75,132.75,83600
2000-06-30,130.5,131.25,117.0,126.75,126.75,157800
2000-07-03,126.0,126.0,115.5,120.0,120.0,30600
2000-07-05,120.0,120.75,115.5,120.0,120.0,41200
2000-07-06,122.25,126.75,105.0,108.75,108.75,60900
2000-07-07,109.5,121.5,109.5,114.0,114.0,43400
2000-07-10,113.624397,118.5,112.5,112.5,112.5,24100
2000-07-11,112.5,117.0,110.25,112.5,112.5,29200
2000-07-12,114.0,115.5,112.5,112.874397,112.874397,17700
2000-07-13,111.0,111.75,101.25,102.0,102.0,18400
2000-07-14,103.124397,106.5,102.0,102.0,102.0,17000
2000-07-17,105.0,105.0,90.0,96.0,96.0,30900
2000-07-18,95.25,97.5,94.5,94.5,94.5,16800
2000-07-19,95.437202,96.0,90.0,91.124397,91.124397,13300
2000-07-20,91.874397,97.5,90.75,96.0,96.0,30900
2000-07-21,95.8116,98.25,95.624397,96.0,96.0,19200
2000-07-24,96.0,96.75,90.0,96.0,96.0,15900
2000-07-25,91.874397,93.0,91.124397,93.0,93.0,5800
2000-07-26,91.5,93.0,81.0,88.5,88.5,18100
2000-07-27,86.25,87.0,81.0,84.0,84.0,7000
2000-07-28,85.5,86.25,74.25,78.0,78.0,7800
2000-07-31,76.5,81.0,72.374397,78.0,78.0,12500
