Date,Open,High,Low,Close,Adj Close,Volume
2014-02-12,16.0,16.120001000000002,14.56,14.71,14.71,1601700
2014-02-13,15.15,15.47,14.05,14.65,14.65,192300
2014-02-14,14.79,15.49,14.51,15.06,15.06,73400
2014-02-18,15.15,15.46,15.01,15.06,15.06,434400
2014-02-19,15.05,15.09,14.62,14.88,14.88,30400
2014-02-20,14.63,14.99,14.55,14.9,14.9,21800
2014-02-21,15.0,15.48,14.7,15.43,15.43,28300
2014-02-24,15.66,15.66,14.79,15.2,15.2,34000
2014-02-25,15.26,16.0,15.03,16.0,16.0,35500
2014-02-26,16.0,16.77,15.99,16.01,16.01,69400
2014-02-27,16.049999,16.450001,16.049999,16.450001,16.450001,81300
2014-02-28,16.01,19.75,16.01,18.4,18.4,105400
2014-03-03,18.4,19.24,16.360001,17.610001,17.610001,131800
2014-03-04,17.700001,18.799999,17.700001,18.040001,18.040001,54700
2014-03-05,18.360001,19.85,18.26,19.209999,19.209999,221600
2014-03-06,19.49,20.85,19.0,19.34,19.34,175900
2014-03-07,20.719998999999998,20.719998999999998,18.309998999999998,19.26,19.26,66700
2014-03-10,19.27,19.99,18.57,19.219998999999998,19.219998999999998,170900
2014-03-11,19.4,19.559998999999998,18.76,19.290001,19.290001,84700
2014-03-12,19.25,20.5,19.120001000000002,19.700001,19.700001,77300
2014-03-13,19.9,20.18,19.299999,19.75,19.75,87300
2014-03-14,20.0,20.0,17.51,18.51,18.51,89500
2014-03-17,18.65,18.74,17.700001,18.16,18.16,34400
2014-03-18,18.200001,19.040001,17.959999,18.98,18.98,56000
2014-03-19,19.110001,20.040001,19.110001,19.42,19.42,74900
2014-03-20,19.6,19.99,19.290001,19.5,19.5,33700
2014-03-21,19.66,19.66,18.209999,18.59,18.59,82900
2014-03-24,18.889999,19.5,16.41,17.959999,17.959999,80500
2014-03-25,18.0,18.57,16.459999,16.73,16.73,88200
2014-03-26,16.799999,16.799999,15.7,16.43,16.43,104200
2014-03-27,17.49,17.49,14.55,15.76,15.76,144200
2014-03-28,15.86,17.309998999999998,15.54,15.81,15.81,345400
2014-03-31,15.91,16.99,15.01,16.450001,16.450001,675000
2014-04-01,16.5,17.09,16.0,16.93,16.93,102100
2014-04-02,16.950001,17.709999,16.83,17.4,17.4,44600
2014-04-03,17.41,18.0,16.76,17.629998999999998,17.629998999999998,72600
2014-04-04,17.74,18.190001000000002,16.799999,17.940001000000002,17.940001000000002,46200
2014-04-07,17.82,18.23,15.45,17.25,17.25,40100
2014-04-08,17.110001,17.42,16.870001000000002,17.120001000000002,17.120001000000002,37900
2014-04-09,17.120001000000002,17.66,16.82,16.98,16.98,39800
2014-04-10,16.98,17.780001000000002,16.07,16.65,16.65,108400
2014-04-11,16.6,16.639999,14.89,15.15,15.15,68300
2014-04-14,15.25,16.559998999999998,15.25,16.15,16.15,24400
2014-04-15,16.24,16.299999,14.67,15.08,15.08,60900
2014-04-16,15.1,15.1,14.14,14.66,14.66,76000
2014-04-17,14.67,15.04,14.2,14.53,14.53,43400
2014-04-21,14.7,14.7,14.36,14.49,14.49,13400
2014-04-22,14.46,15.14,14.4,14.75,14.75,19800
2014-04-23,14.68,15.01,13.37,13.57,13.57,54200
2014-04-24,13.69,13.69,13.0,13.38,13.38,26900
2014-04-25,13.28,13.4,12.9,13.1,13.1,28300
2014-04-28,13.09,15.0,12.51,12.72,12.72,35000
2014-04-29,12.81,13.81,12.51,12.6,12.6,26600
2014-04-30,12.5,12.5,11.45,11.85,11.85,38200
2014-05-01,11.79,11.87,11.06,11.86,11.86,27400
2014-05-02,11.84,12.12,11.66,11.88,11.88,42800
2014-05-05,11.77,12.87,11.6,12.43,12.43,11800
2014-05-06,12.35,12.55,11.96,12.14,12.14,35000
2014-05-07,12.12,13.43,12.0,12.81,12.81,40500
2014-05-08,12.9,12.9,12.29,12.39,12.39,95600
2014-05-09,12.27,12.93,11.98,12.24,12.24,91800
2014-05-12,12.27,13.4,12.27,12.41,12.41,30200
2014-05-13,12.37,12.63,12.3,12.47,12.47,48400
2014-05-14,12.41,12.75,12.41,12.45,12.45,34600
2014-05-15,12.41,13.02,12.37,12.86,12.86,76200
2014-05-16,12.86,12.86,12.51,12.6,12.6,10300
2014-05-19,13.0,13.0,12.5,12.65,12.65,29300
2014-05-20,12.67,12.78,12.46,12.64,12.64,36000
2014-05-21,12.66,12.8,12.42,12.56,12.56,18700
2014-05-22,12.51,12.8,12.32,12.53,12.53,47400
2014-05-23,12.49,12.85,12.49,12.66,12.66,31500
2014-05-27,12.75,13.06,12.66,12.99,12.99,55400
2014-05-28,12.86,12.88,12.53,12.6,12.6,39700
2014-05-29,12.64,12.64,12.42,12.54,12.54,22500
2014-05-30,12.72,12.85,12.56,12.74,12.74,22900
2014-06-02,12.83,12.83,12.52,12.63,12.63,24700
2014-06-03,12.65,12.67,12.46,12.54,12.54,38400
2014-06-04,12.55,12.61,12.31,12.58,12.58,53200
2014-06-05,12.58,12.65,12.45,12.48,12.48,19600
2014-06-06,12.48,12.55,12.36,12.45,12.45,17500
2014-06-09,12.45,12.7,12.34,12.55,12.55,16600
2014-06-10,12.52,12.65,12.52,12.59,12.59,11600
2014-06-11,12.55,12.78,12.52,12.72,12.72,14700
2014-06-12,12.9,12.9,12.61,12.81,12.81,19400
2014-06-13,12.84,12.99,12.7,12.95,12.95,15200
2014-06-16,13.1,13.23,12.95,13.03,13.03,56400
2014-06-17,13.03,13.07,12.81,12.88,12.88,31800
2014-06-18,13.03,15.14,12.76,14.91,14.91,165000
2014-06-19,14.9,16.549999,13.81,14.06,14.06,122900
2014-06-20,14.02,15.99,13.88,13.88,13.88,133100
2014-06-23,13.97,14.5,13.28,14.04,14.04,24300
2014-06-24,12.79,13.77,12.79,13.55,13.55,17600
2014-06-25,13.57,13.57,12.86,13.33,13.33,9800
2014-06-26,13.2,13.54,13.09,13.2,13.2,14200
2014-06-27,13.09,13.9,12.98,13.76,13.76,107400
2014-06-30,13.78,14.19,13.43,13.48,13.48,16400
2014-07-01,13.25,14.29,13.25,14.01,14.01,25400
2014-07-02,14.01,14.39,14.0,14.02,14.02,15200
2014-07-03,14.04,14.58,14.04,14.37,14.37,21500
2014-07-07,14.38,14.38,13.66,13.66,13.66,28700
2014-07-08,13.72,13.83,13.2,13.35,13.35,21100
2014-07-09,13.35,13.35,13.09,13.32,13.32,9500
2014-07-10,13.25,13.53,13.0,13.27,13.27,20700
