Date,Open,High,Low,Close,Adj Close,Volume
2014-09-18,8.0,11.0,6.22,6.22,6.22,16000300
2014-09-19,6.2,6.48,5.7,6.15,6.15,2499300
2014-09-22,6.11,6.25,5.9,5.99,5.99,460900
2014-09-23,5.9,6.08,5.74,5.77,5.77,461800
2014-09-24,5.77,5.8,5.54,5.6,5.6,451700
2014-09-25,5.5,5.58,5.25,5.33,5.33,527300
2014-09-26,5.5,5.75,5.27,5.7,5.7,217900
2014-09-29,5.71,5.98,5.4,5.46,5.46,146500
2014-09-30,5.41,5.75,5.41,5.45,5.45,150500
2014-10-01,5.31,5.63,5.31,5.45,5.45,176600
2014-10-02,5.44,5.48,5.3,5.45,5.45,192900
2014-10-03,5.32,5.69,5.25,5.39,5.39,89500
2014-10-06,5.28,5.45,5.21,5.27,5.27,118400
2014-10-07,5.25,5.295,5.2,5.25,5.25,116600
2014-10-08,5.29,5.49,5.17,5.47,5.47,169300
2014-10-09,5.408,5.5,5.14,5.27,5.27,188800
2014-10-10,5.42,5.42,4.75,5.08,5.08,245800
2014-10-13,5.46,5.83,5.37,5.6,5.6,543400
2014-10-14,5.7,5.78,5.5,5.65,5.65,113200
2014-10-15,5.71,5.71,5.5,5.57,5.57,109500
2014-10-16,5.5,5.88,5.41,5.685,5.685,182600
2014-10-17,5.75,5.75,5.5,5.73,5.73,225900
2014-10-20,5.73,5.73,5.61,5.69,5.69,44500
2014-10-21,5.73,5.74,5.53,5.55,5.55,162300
2014-10-22,5.5,5.62,5.39,5.55,5.55,67700
2014-10-23,5.509,5.67,5.27,5.47,5.47,244600
2014-10-24,5.41,5.55,5.37,5.46,5.46,118800
2014-10-27,5.46,5.54,5.27,5.33,5.33,77700
2014-10-28,5.33,5.49,5.27,5.46,5.46,70200
2014-10-29,5.5,5.54,5.28,5.51,5.51,51200
2014-10-30,5.566,5.566,5.35,5.49,5.49,51700
2014-10-31,5.48,5.528,5.37,5.4,5.4,18100
2014-11-03,5.37,5.495,5.23,5.33,5.33,71600
2014-11-04,5.33,5.5,5.211,5.5,5.5,86200
2014-11-05,5.5,5.58,5.39,5.425,5.425,40300
2014-11-06,5.45,5.54,5.3,5.43,5.43,73600
2014-11-07,5.42,5.629,5.25,5.34,5.34,143000
2014-11-10,5.4,5.54,5.4,5.48,5.48,41200
2014-11-11,5.53,5.53,5.34,5.405,5.405,28500
2014-11-12,5.33,5.37,5.27,5.31,5.31,37400
2014-11-13,5.37,5.47,5.25,5.41,5.41,50700
2014-11-14,5.45,5.45,5.341,5.38,5.38,16300
2014-11-17,5.5,5.5,5.28,5.3,5.3,60400
2014-11-18,5.45,5.49,5.31,5.45,5.45,95700
2014-11-19,5.45,5.46,5.34,5.34,5.34,39300
2014-11-20,5.36,5.398,5.3,5.34,5.34,32500
2014-11-21,5.45,5.45,5.216,5.27,5.27,24400
2014-11-24,5.34,5.45,5.27,5.38,5.38,91600
2014-11-25,5.43,5.49,5.31,5.43,5.43,62000
2014-11-26,5.36,5.47,5.36,5.45,5.45,52500
2014-11-28,5.45,5.45,5.25,5.3,5.3,35800
2014-12-01,5.39,5.49,5.31,5.41,5.41,84100
2014-12-02,5.41,5.41,5.35,5.35,5.35,20600
2014-12-03,5.35,5.37,5.35,5.35,5.35,21500
2014-12-04,5.317,5.4,5.315,5.4,5.4,34500
2014-12-05,5.41,6.66,5.4,6.6,6.6,619800
2014-12-08,6.6,7.25,6.35,6.64,6.64,571400
2014-12-09,6.52,6.73,6.339,6.56,6.56,134200
2014-12-10,6.66,6.66,6.01,6.49,6.49,121400
2014-12-11,6.6,6.66,6.04,6.23,6.23,164000
2014-12-12,6.23,6.5,6.08,6.42,6.42,91600
2014-12-15,6.33,6.45,5.824,6.01,6.01,134600
2014-12-16,5.94,6.19,5.86,6.19,6.19,111600
2014-12-17,6.17,6.28,5.99,6.19,6.19,91000
2014-12-18,6.08,6.24,5.59,5.9,5.9,107000
2014-12-19,5.89,6.19,5.89,6.14,6.14,64500
2014-12-22,6.14,7.09,6.0,6.9,6.9,419800
2014-12-23,6.8,6.8,6.374,6.5,6.5,120100
2014-12-24,6.4,6.4,6.07,6.35,6.35,106100
2014-12-26,6.39,6.736,6.321,6.69,6.69,45000
2014-12-29,6.68,6.879,6.45,6.8,6.8,94000
2014-12-30,6.79,7.25,6.5,7.03,7.03,212700
2014-12-31,7.17,7.2,6.81,7.01,7.01,95900
2015-01-02,6.84,7.5,6.84,7.45,7.45,187100
2015-01-05,7.5,8.58,6.9,8.35,8.35,559900
2015-01-06,8.85,8.88,8.06,8.24,8.24,348300
2015-01-07,8.24,8.24,7.6,7.94,7.94,139700
2015-01-08,8.04,8.177,7.91,8.04,8.04,95400
2015-01-09,8.08,8.1,7.62,7.9,7.9,69000
2015-01-12,7.96,7.96,7.2,7.41,7.41,117800
2015-01-13,7.41,7.48,7.01,7.43,7.43,171000
2015-01-14,7.51,7.75,7.15,7.73,7.73,104200
2015-01-15,7.9,7.9,7.19,7.53,7.53,115700
2015-01-16,7.46,7.54,7.0,7.32,7.32,114400
2015-01-20,7.36,7.69,7.06,7.68,7.68,79700
2015-01-21,7.7,7.7,7.3,7.54,7.54,155000
2015-01-22,7.54,7.8,7.458,7.8,7.8,95400
2015-01-23,7.79,8.299,7.7,8.1,8.1,236100
2015-01-26,8.22,8.8,8.05,8.7,8.7,796400
