Date,Open,High,Low,Close,Adj Close,Volume
2010-10-18,1.17,1.221,1.17,1.221,1.221,2000
2010-10-19,1.227,1.227,1.227,1.227,1.227,0
2010-10-20,1.247,1.247,1.247,1.247,1.247,0
2010-10-21,1.27,1.27,1.24,1.268,1.268,4000
2010-10-22,1.254,1.254,1.254,1.254,1.254,2000
2010-10-25,1.226,1.226,1.226,1.226,1.226,0
2010-10-26,1.252,1.252,1.252,1.252,1.252,0
2010-10-27,1.211,1.211,1.211,1.211,1.211,0
2010-10-28,1.24,1.24,1.235,1.235,1.235,0
2010-10-29,1.24,1.285,1.24,1.285,1.285,0
2010-11-01,1.261,1.261,1.261,1.261,1.261,0
2010-11-02,1.246,1.246,1.246,1.246,1.246,0
2010-11-03,1.223,1.223,1.223,1.223,1.223,0
2010-11-04,1.226,1.226,1.226,1.226,1.226,0
2010-11-05,1.223,1.223,1.223,1.223,1.223,0
2010-11-08,1.247,1.247,1.247,1.247,1.247,0
2010-11-09,1.243,1.243,1.243,1.243,1.243,0
2010-11-10,1.251,1.252,1.251,1.252,1.252,0
2010-11-11,1.252,1.262,1.252,1.262,1.262,0
2010-11-12,1.233,1.233,1.233,1.233,1.233,0
2010-11-15,1.209,1.209,1.209,1.209,1.209,0
2010-11-16,1.22,1.22,1.22,1.22,1.22,0
2010-11-17,1.224,1.224,1.224,1.224,1.224,0
2010-11-18,1.262,1.268,1.262,1.268,1.268,0
2010-11-19,1.251,1.251,1.251,1.251,1.251,0
2010-11-22,1.253,1.253,1.253,1.253,1.253,0
2010-11-23,1.219,1.219,1.219,1.219,1.219,0
2010-11-24,1.241,1.241,1.241,1.241,1.241,0
2010-11-26,1.254,1.254,1.245,1.245,1.245,0
2010-11-29,1.242,1.242,1.242,1.242,1.242,0
2010-11-30,1.262,1.262,1.262,1.262,1.262,0
2010-12-01,1.281,1.281,1.281,1.281,1.281,0
2010-12-02,1.288,1.288,1.288,1.288,1.288,0
2010-12-03,1.292,1.292,1.27,1.27,1.27,0
2010-12-06,1.248,1.248,1.248,1.248,1.248,0
2010-12-07,1.236,1.236,1.236,1.236,1.236,0
2010-12-08,1.244,1.244,1.235,1.235,1.235,0
2010-12-09,1.221,1.221,1.221,1.221,1.221,0
2010-12-10,1.219,1.219,1.219,1.219,1.219,0
2010-12-13,1.216,1.216,1.216,1.216,1.216,0
2010-12-14,1.202,1.202,1.202,1.202,1.202,0
2010-12-15,1.223,1.223,1.223,1.223,1.223,0
2010-12-16,1.202,1.202,1.202,1.202,1.202,0
2010-12-17,1.237,1.237,1.237,1.237,1.237,0
2010-12-20,1.262,1.262,1.262,1.262,1.262,0
2010-12-21,1.262,1.262,1.238,1.238,1.238,0
2010-12-22,1.262,1.262,1.249,1.249,1.249,0
2010-12-23,1.247,1.247,1.247,1.247,1.247,0
2010-12-27,1.266,1.266,1.266,1.266,1.266,0
2010-12-28,1.24,1.24,1.24,1.24,1.24,0
2010-12-29,1.249,1.249,1.249,1.249,1.249,0
2010-12-30,1.268,1.268,1.268,1.268,1.268,0
2011-01-03,1.268,1.268,1.268,1.268,1.268,0
2011-01-04,1.234,1.234,1.234,1.234,1.234,0
