Date,Open,High,Low,Close,Adj Close,Volume
2005-09-29,12.0,12.25,11.75,11.75,11.75,2628300
2005-09-30,12.0,12.0,11.55,11.55,11.55,219900
2005-10-03,11.98,11.98,11.65,11.69,11.69,137400
2005-10-04,11.72,11.8,11.45,11.55,11.55,228000
2005-10-05,11.7,11.7,9.87,10.35,10.35,1010000
2005-10-06,10.8,10.8,10.2,10.5,10.5,74500
2005-10-07,10.6,10.65,10.38,10.5,10.5,220100
2005-10-10,10.85,10.85,10.51,10.51,10.51,6100
2005-10-11,10.5,10.59,10.39,10.39,10.39,41300
2005-10-12,10.23,10.3,9.5,9.99,9.99,176700
2005-10-13,9.97,9.97,9.55,9.75,9.75,91900
2005-10-14,9.85,9.85,9.69,9.78,9.78,83300
2005-10-17,9.95,9.99,9.8,9.92,9.92,47700
2005-10-18,10.13,10.13,9.2,9.2,9.2,75100
2005-10-19,9.15,9.39,8.96,9.05,9.05,15400
2005-10-20,9.07,9.11,8.85,8.85,8.85,87600
2005-10-21,8.85,9.24,8.56,9.0,9.0,206200
2005-10-24,9.25,9.3,9.0,9.19,9.19,39500
2005-10-25,9.25,9.25,9.0,9.15,9.15,10100
2005-10-26,9.4,9.4,9.15,9.21,9.21,59700
2005-10-27,9.44,9.44,9.0,9.0,9.0,11500
2005-10-28,9.15,9.49,9.1,9.43,9.43,27000
2005-10-31,9.65,9.8,9.4,9.53,9.53,42300
2005-11-01,9.97,9.97,9.46,9.67,9.67,50200
2005-11-02,9.75,9.75,9.7,9.75,9.75,10000
2005-11-03,9.96,10.24,9.85,10.03,10.03,48500
2005-11-04,10.24,10.25,9.97,10.17,10.17,175800
2005-11-07,10.2,10.4,10.14,10.35,10.35,17400
2005-11-08,11.0,11.0,10.35,10.36,10.36,231800
2005-11-09,10.5,10.58,10.02,10.15,10.15,81700
2005-11-10,10.5,10.5,10.15,10.27,10.27,29000
2005-11-11,10.42,10.42,10.22,10.3,10.3,8800
2005-11-14,10.3,10.4,10.15,10.2,10.2,17300
2005-11-15,10.24,10.24,9.9,9.99,9.99,54500
2005-11-16,10.09,10.09,9.9,10.0,10.0,41700
2005-11-17,10.24,10.24,9.98,10.0,10.0,29900
2005-11-18,10.15,10.15,9.89,9.9,9.9,27100
2005-11-21,10.0,10.0,9.9,9.9,9.9,20100
2005-11-22,10.15,10.15,9.8,9.8,9.8,24200
2005-11-23,9.8,9.94,9.22,9.68,9.68,46800
2005-11-25,9.65,9.69,9.55,9.56,9.56,9600
2005-11-28,9.56,9.56,8.75,8.81,8.81,58200
2005-11-29,8.94,9.19,8.94,9.01,9.01,200600
2005-11-30,9.2,9.22,9.02,9.22,9.22,16000
2005-12-01,9.25,9.7,9.25,9.39,9.39,72200
2005-12-02,9.5,9.59,9.35,9.5,9.5,35500
2005-12-05,9.4,10.45,9.35,10.18,10.18,76200
2005-12-06,10.28,10.48,9.95,10.09,10.09,155000
2005-12-07,10.24,10.25,10.03,10.15,10.15,12500
2005-12-08,10.0,10.15,10.0,10.15,10.15,17400
2005-12-09,10.25,10.25,10.0,10.05,10.05,27800
2005-12-12,10.76,10.76,10.62,10.68,10.68,53200
2005-12-13,10.73,10.73,10.04,10.46,10.46,68500
2005-12-14,10.5,10.5,10.06,10.15,10.15,75500
2005-12-15,10.15,10.49,10.05,10.15,10.15,14100
2005-12-16,10.2,10.45,9.94,10.01,10.01,393500
2005-12-19,10.15,10.15,9.8,9.87,9.87,69400
2005-12-20,9.8,9.99,9.75,9.82,9.82,24500
2005-12-21,9.76,9.98,9.7,9.81,9.81,31600
2005-12-22,9.86,10.0,9.8,10.0,10.0,20000
2005-12-23,10.25,10.44,10.16,10.36,10.36,16700
2005-12-27,10.4,10.4,9.87,9.9,9.9,33500
2005-12-28,9.95,9.96,9.81,9.85,9.85,34200
2005-12-29,9.81,9.81,9.51,9.58,9.58,12900
2005-12-30,9.62,9.62,9.0,9.11,9.11,67900
2006-01-03,9.11,9.75,9.08,9.55,9.55,75700
2006-01-04,9.68,9.75,9.6,9.7,9.7,32800
2006-01-05,9.7,9.75,9.6,9.64,9.64,62700
2006-01-06,9.65,9.7,9.43,9.49,9.49,76000
2006-01-09,9.57,9.9,9.42,9.48,9.48,279600
2006-01-10,9.55,9.76,9.4,9.71,9.71,86000
2006-01-11,9.76,10.15,9.73,10.08,10.08,65900
