Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,12.5,12.6875,8.125,11.0,11.0,3875100
2000-01-04,9.5625,10.125,8.7187,9.6875,9.6875,1372900
2000-01-05,9.2812,10.0,8.875,10.0,10.0,882400
2000-01-06,10.0625,12.5,9.9375,12.0,12.0,1808400
2000-01-07,12.25,12.625,11.875,11.9375,11.9375,872400
2000-01-10,12.25,12.375,11.75,12.25,12.25,690900
2000-01-11,12.3125,12.8125,11.875,11.9375,11.9375,569300
2000-01-12,12.125,12.3125,10.375,11.375,11.375,815200
2000-01-13,11.875,12.0,10.5625,11.5625,11.5625,564200
2000-01-14,12.0,12.0,11.1875,11.8125,11.8125,436500
2000-01-18,11.8437,15.5,11.75,15.375,15.375,2100000
2000-01-19,15.5,17.375,14.625,16.0,16.0,1714700
2000-01-20,16.375,16.8125,15.1875,15.625,15.625,568900
2000-01-21,15.875,16.3125,14.375,16.125,16.125,1002900
2000-01-24,16.3125,18.0,15.5,15.9375,15.9375,1022400
2000-01-25,16.625,17.125,16.0,16.75,16.75,383600
2000-01-26,17.4375,19.7187,17.4375,18.5,18.5,1973300
2000-01-27,18.9375,19.5,17.0,17.5,17.5,730400
2000-01-28,17.75,17.875,14.625,15.0,15.0,676600
2000-01-31,15.125,15.3125,11.8125,13.8125,13.8125,2095100
2000-02-01,13.6875,15.5,13.25,15.375,15.375,880700
2000-02-02,16.5,17.5,16.25,17.375,17.375,1276400
2000-02-03,17.5,18.0,16.625,17.5625,17.5625,836100
2000-02-04,17.6875,18.5,17.375,18.0625,18.0625,1235000
2000-02-07,18.625,19.0,18.0,18.75,18.75,392900
2000-02-08,18.75,19.25,18.0,19.0625,19.0625,561200
2000-02-09,19.25,19.75,18.875,19.5,19.5,634100
2000-02-10,19.6562,21.4375,19.625,20.0,20.0,888800
2000-02-11,22.0,22.375,19.9375,20.0,20.0,1126100
2000-02-14,20.875,22.0,20.625,22.0,22.0,656700
2000-02-15,21.875,25.75,20.75,25.4375,25.4375,2045800
2000-02-16,25.5625,28.9375,24.5,27.75,27.75,2054700
2000-02-17,28.875,39.5,28.75,30.25,30.25,3998300
2000-02-18,32.4375,35.0,27.375,29.0,29.0,1750900
2000-02-22,30.5,30.75,22.625,28.9375,28.9375,2328600
2000-02-23,29.375,29.5,26.375,27.8125,27.8125,608600
2000-02-24,27.75,27.8125,24.3125,25.375,25.375,1319600
2000-02-25,25.75,29.0,24.625,28.375,28.375,1233600
2000-02-28,29.9375,30.0625,27.375,28.0,28.0,572400
2000-02-29,28.375,29.4375,28.375,29.125,29.125,477500
2000-03-01,29.125,32.5,28.875,32.25,32.25,832800
2000-03-02,34.9687,38.5,33.5,38.0,38.0,2044100
