Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,4.8125,5.0625,4.625,5.0625,5.0625,42400
2000-01-04,4.9375,5.5,4.9375,5.5,5.5,40500
2000-01-05,5.375,5.375,5.0,5.375,5.375,1200
2000-01-06,5.4375,5.4375,5.0,5.25,5.25,15400
2000-01-07,5.25,5.25,4.9375,5.0625,5.0625,21300
2000-01-10,5.0625,5.25,5.0,5.0,5.0,6500
2000-01-11,5.0,5.0,5.0,5.0,5.0,2700
2000-01-12,5.0,5.0,4.8125,5.0,5.0,8200
2000-01-13,4.8125,5.0,4.75,4.875,4.875,10500
2000-01-14,4.875,5.0,4.875,5.0,5.0,10600
2000-01-18,4.9375,5.0,4.875,4.9375,4.9375,5300
2000-01-19,5.0,5.0,5.0,5.0,5.0,4000
2000-01-20,4.9062,5.0,4.875,5.0,5.0,21100
2000-01-21,4.875,4.875,4.6875,4.6875,4.6875,15100
2000-01-24,4.6875,4.6875,4.6875,4.6875,4.6875,200
2000-01-25,4.9375,5.0,4.9375,5.0,5.0,1700
2000-01-26,4.75,4.75,4.75,4.75,4.75,1100
2000-01-27,4.75,4.75,4.75,4.75,4.75,4800
2000-01-28,4.75,4.75,4.75,4.75,4.75,400
2000-01-31,4.8437,4.9375,4.8437,4.9375,4.9375,2300
2000-02-01,4.9375,4.9375,4.9375,4.9375,4.9375,100
2000-02-02,4.75,4.75,4.75,4.75,4.75,400
2000-02-03,4.75,4.9375,4.75,4.9375,4.9375,10900
2000-02-04,5.0,5.0,4.5,4.5625,4.5625,11300
2000-02-07,4.625,4.625,4.5,4.5,4.5,5900
2000-02-08,4.5,4.5,4.5,4.5,4.5,19000
2000-02-09,4.5,4.5,4.4375,4.5,4.5,21300
2000-02-10,4.0625,4.0625,3.875,4.0,4.0,30900
2000-02-11,4.25,4.375,4.25,4.375,4.375,800
2000-02-14,4.5,4.5,4.25,4.25,4.25,18900
2000-02-15,4.375,4.375,4.375,4.375,4.375,25300
2000-02-16,4.375,4.375,4.3125,4.375,4.375,15500
2000-02-17,4.4375,4.4375,4.25,4.375,4.375,56600
2000-02-18,4.375,4.375,4.0625,4.25,4.25,36300
2000-02-22,4.1562,4.25,4.1562,4.25,4.25,3500
2000-02-23,4.25,4.3125,4.25,4.3125,4.3125,10200
2000-02-24,4.375,4.5625,4.375,4.5625,4.5625,25500
2000-02-25,4.75,4.75,4.4375,4.4375,4.4375,2400
2000-02-28,4.375,4.5,4.25,4.5,4.5,18100
2000-02-29,4.4375,4.4375,4.25,4.4375,4.4375,9100
2000-03-01,4.3437,4.625,4.0625,4.625,4.625,215200
2000-03-02,4.625,5.375,4.5625,4.625,4.625,115200
2000-03-03,4.8437,5.125,4.5,5.125,5.125,29000
2000-03-06,5.0625,5.125,4.75,4.9375,4.9375,18700
2000-03-07,4.75,4.9375,4.7187,4.9375,4.9375,18000
2000-03-08,4.9375,4.9375,4.75,4.9375,4.9375,4200
2000-03-09,4.9375,5.0,4.875,4.875,4.875,20600
2000-03-10,4.8437,4.9375,4.75,4.875,4.875,2300
2000-03-13,4.9375,4.9375,4.75,4.75,4.75,5900
2000-03-14,4.9687,5.0,4.875,4.875,4.875,12900
2000-03-15,5.0,5.0,4.875,4.9375,4.9375,16900
2000-03-16,4.8906,4.9375,4.875,4.9375,4.9375,16100
2000-03-17,4.9062,4.9062,4.875,4.875,4.875,2800
2000-03-20,4.9062,4.9062,4.75,4.75,4.75,7300
2000-03-21,4.75,4.9062,4.75,4.8125,4.8125,22900
2000-03-22,4.5312,4.9687,4.5312,4.9062,4.9062,20700
2000-03-23,4.625,4.625,4.625,4.625,4.625,1400
2000-03-24,4.875,4.9062,4.6875,4.6875,4.6875,20800
2000-03-27,4.6875,4.6875,4.6875,4.6875,4.6875,2300
2000-03-28,4.7187,4.9062,4.6875,4.9062,4.9062,10300
2000-03-29,4.75,4.875,4.6875,4.6875,4.6875,7400
2000-03-30,4.625,4.6875,4.5937,4.6875,4.6875,15700
2000-03-31,4.5625,4.5625,3.5,4.375,4.375,110100
2000-04-03,4.4375,4.6875,4.25,4.5,4.5,4100
2000-04-04,4.25,4.5,4.0,4.5,4.5,4600
2000-04-05,4.5,4.75,4.5,4.75,4.75,7900
2000-04-06,4.5,4.625,4.5,4.5,4.5,4600
2000-04-07,4.5,4.75,4.5,4.75,4.75,1300
2000-04-10,4.7187,4.75,4.5,4.75,4.75,20400
2000-04-11,4.5,4.625,4.5,4.625,4.625,3200
2000-04-12,4.75,4.875,4.75,4.875,4.875,3900
2000-04-13,4.75,4.875,4.75,4.75,4.75,1100
2000-04-14,4.75,4.75,4.0,4.5,4.5,35600
2000-04-17,4.0,4.4375,4.0,4.4375,4.4375,700
2000-04-18,4.125,4.5,4.125,4.5,4.5,7000
2000-04-19,4.125,4.4375,4.0,4.4375,4.4375,15300
2000-04-20,4.125,4.125,4.125,4.125,4.125,1700
2000-04-24,4.375,4.375,4.0,4.25,4.25,20200
2000-04-25,4.4375,4.4375,4.4375,4.4375,4.4375,1300
2000-04-26,4.4375,4.4375,4.125,4.125,4.125,9500
2000-04-27,4.4375,4.4375,4.4375,4.4375,4.4375,1000
2000-04-28,4.4375,4.4375,4.4375,4.4375,4.4375,0
2000-05-01,4.0,4.0625,4.0,4.0625,4.0625,18000
2000-05-02,4.375,4.4375,4.375,4.4375,4.4375,2000
2000-05-03,4.2812,4.4375,4.0,4.4375,4.4375,11700
2000-05-04,4.25,4.5625,4.25,4.5625,4.5625,10900
2000-05-05,4.25,4.5,4.0625,4.5,4.5,60300
2000-05-08,4.5,4.5,4.5,4.5,4.5,100
2000-05-09,4.5,4.5625,4.5,4.5625,4.5625,3000
2000-05-10,4.5,4.5,4.5,4.5,4.5,14500
2000-05-11,4.5625,4.9375,4.5625,4.9375,4.9375,41500
2000-05-12,4.75,5.0,4.75,5.0,5.0,3500
2000-05-15,5.0,5.5,4.8125,5.5,5.5,25100
2000-05-16,5.5,5.5,5.25,5.4375,5.4375,52100
2000-05-17,5.5,5.5,5.25,5.4375,5.4375,36000
2000-05-18,5.4375,5.875,5.375,5.625,5.625,257900
2000-05-19,5.875,6.0,5.6875,6.0,6.0,30000
2000-05-22,6.0,6.25,6.0,6.125,6.125,151400
2000-05-23,6.125,6.375,6.0,6.25,6.25,135100
2000-05-24,6.3125,6.375,5.75,6.1875,6.1875,61400
2000-05-25,6.25,6.25,6.0,6.0,6.0,16200
2000-05-26,6.375,6.375,5.75,5.875,5.875,3700
2000-05-30,6.375,6.375,5.9375,6.0,6.0,19700
2000-05-31,6.375,6.375,6.0,6.375,6.375,23700
2000-06-01,6.0937,6.375,6.0,6.125,6.125,90600
2000-06-02,6.3437,6.375,6.0,6.25,6.25,74800
2000-06-05,6.5,6.5625,6.0625,6.0625,6.0625,41100
2000-06-06,6.4375,6.4375,6.4375,6.4375,6.4375,400
2000-06-07,6.4062,6.625,6.125,6.125,6.125,24300
2000-06-08,6.375,6.5,6.375,6.5,6.5,2900
2000-06-09,6.3125,6.5,6.125,6.25,6.25,20600
2000-06-12,6.3125,6.4375,6.0625,6.0625,6.0625,25000
2000-06-13,6.25,6.375,6.125,6.25,6.25,5900
2000-06-14,6.125,6.3125,6.125,6.3125,6.3125,2800
2000-06-15,6.1875,6.1875,6.0,6.125,6.125,22100
2000-06-16,6.125,6.25,6.0,6.25,6.25,10200
2000-06-19,6.0,6.0,5.75,6.0,6.0,21800
2000-06-20,6.0,6.0,5.75,6.0,6.0,1500
2000-06-21,5.8125,6.125,5.8125,6.125,6.125,1900
2000-06-22,6.0625,6.0625,6.0,6.0,6.0,1200
2000-06-23,5.9375,6.0,5.75,6.0,6.0,9800
2000-06-26,6.0625,6.3125,6.0625,6.3125,6.3125,61700
2000-06-27,6.1875,6.4375,6.1875,6.4375,6.4375,19900
2000-06-28,6.3125,6.4375,6.0625,6.25,6.25,40500
2000-06-29,6.25,6.3125,6.125,6.125,6.125,98900
2000-06-30,6.25,6.3125,6.125,6.3125,6.3125,44200
2000-07-03,6.3125,6.4375,6.3125,6.4375,6.4375,5200
2000-07-05,6.3125,6.375,6.25,6.3125,6.3125,35900
2000-07-06,6.4375,6.4375,6.125,6.25,6.25,18600
2000-07-07,6.125,6.125,6.125,6.125,6.125,1200
2000-07-10,6.375,6.375,6.25,6.25,6.25,14200
2000-07-11,6.3125,6.3125,6.125,6.25,6.25,7100
2000-07-12,6.125,6.25,6.125,6.1875,6.1875,5500
2000-07-13,6.1562,6.1875,6.125,6.125,6.125,15000
2000-07-14,6.1875,6.1875,6.125,6.125,6.125,2000
2000-07-17,6.125,6.125,6.0,6.0625,6.0625,16300
2000-07-18,6.1562,6.1875,6.0625,6.1875,6.1875,2300
2000-07-19,6.0625,6.0625,5.9375,5.9375,5.9375,8200
2000-07-20,6.0,6.125,6.0,6.125,6.125,2200
2000-07-21,6.0,6.0,6.0,6.0,6.0,2800
2000-07-24,6.0312,6.0312,6.0,6.0,6.0,5900
2000-07-25,6.0,6.0,6.0,6.0,6.0,0
2000-07-26,5.9375,5.9375,5.9375,5.9375,5.9375,2400
2000-07-27,5.9375,6.0625,5.75,5.75,5.75,7800
2000-07-28,5.75,5.75,5.4062,5.5,5.5,29400
2000-07-31,5.4062,5.4062,5.1875,5.375,5.375,15200
2000-08-01,5.25,5.25,5.25,5.25,5.25,400
2000-08-02,5.3125,5.5625,5.3125,5.375,5.375,18000
2000-08-03,5.4375,5.4375,5.375,5.4375,5.4375,12800
2000-08-04,5.4062,5.4375,5.4062,5.4375,5.4375,1800
2000-08-07,5.4062,5.9375,5.375,5.6875,5.6875,43900
2000-08-08,5.875,5.9375,5.625,5.9375,5.9375,8200
2000-08-09,5.75,5.9375,5.75,5.9375,5.9375,23900
2000-08-10,5.9375,6.0,5.875,6.0,6.0,4700
2000-08-11,6.0312,6.1875,5.875,6.0,6.0,34000
2000-08-14,6.0,6.125,5.875,6.0,6.0,17600
2000-08-15,6.0,6.0,6.0,6.0,6.0,5400
2000-08-16,5.9375,6.0,5.9375,6.0,6.0,8200
2000-08-17,5.875,5.9375,5.625,5.625,5.625,20100
2000-08-18,5.5625,5.75,5.5,5.5,5.5,86200
