Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,81.75,83.25,78.0,83.25,62.41666800000001,129100
2000-01-04,82.875,83.25,77.25,78.75,59.042793,82000
2000-01-05,77.625,79.125,76.875,78.75,59.042793,71000
2000-01-06,79.125,82.125,77.625,82.125,61.5732,59300
2000-01-07,81.375,84.375,81.375,82.125,61.5732,148400
2000-01-10,84.0,90.0,83.625,89.25,66.91516899999999,181900
2000-01-11,91.875,102.0,91.5,94.5,70.851357,303500
2000-01-12,94.5,94.5,86.25,92.25,69.164413,127700
2000-01-13,92.25,99.75,92.25,99.0,74.225227,139800
2000-01-14,99.75,105.75,96.75,99.0,74.225227,119100
2000-01-18,97.125,99.75,82.875,97.5,73.100601,149300
2000-01-19,95.625,96.375,87.75,95.625,71.694824,71600
2000-01-20,96.75,97.875,94.875,97.125,72.81945,83200
2000-01-21,97.125,99.75,91.5,96.75,72.538292,94600
2000-01-24,97.5,103.5,96.75,100.875,75.631012,154000
2000-01-25,101.25,102.375,92.25,93.375,70.007889,78100
2000-01-26,93.0,95.25,91.5,93.75,70.28904,80700
2000-01-27,93.0,93.75,90.0,90.375,67.758636,67600
2000-01-28,90.375,90.375,84.0,84.375,63.260139,105100
2000-01-31,86.25,86.25,75.0,84.0,62.978981000000005,118700
2000-02-01,81.375,89.25,81.0,88.875,66.63401,60800
2000-02-02,86.25,94.125,86.25,91.5,68.602104,87500
2000-02-03,93.0,93.0,87.0,89.25,66.91516899999999,46600
2000-02-04,90.0,90.375,84.0,85.5,64.103607,72600
2000-02-07,90.75,99.75,89.25,98.625,73.944069,236200
2000-02-08,100.125,102.0,98.25,100.5,75.34985400000001,112500
2000-02-09,100.5,102.75,97.5,98.25,73.662918,103400
2000-02-10,99.0,114.0,98.25,113.625,85.190315,175300
2000-02-11,114.0,119.25,104.25,105.75,79.286041,182900
2000-02-14,114.0,116.625,107.25,113.25,84.909164,102000
2000-02-15,115.5,115.5,102.375,112.5,84.346848,80700
2000-02-16,113.25,125.25,107.25,124.125,93.062691,159900
2000-02-17,126.375,142.5,126.375,137.25,102.90316,236300
2000-02-18,144.0,151.5,135.0,140.625,105.43356299999999,210700
2000-02-22,139.875,141.375,118.875,123.0,92.219223,235600
2000-02-23,129.75,137.625,125.25,127.5,95.593094,121500
2000-02-24,129.75,136.875,126.0,126.75,95.030785,80700
2000-02-25,127.5,132.0,120.0,120.75,90.532288,97900
2000-02-28,120.0,125.625,119.25,122.25,91.656914,67100
2000-02-29,123.75,130.5,123.0,130.5,97.84234599999999,74300
2000-03-01,130.875,140.625,126.75,128.625,96.43656899999999,80800
2000-03-02,130.125,136.125,128.625,130.125,97.561188,83000
2000-03-03,132.0,139.125,130.125,138.75,104.02777900000001,90500
2000-03-06,143.25,156.0,141.0,152.625,114.43055700000001,158000
2000-03-07,156.75,159.0,135.0,137.25,102.90316,120300
2000-03-08,141.375,141.375,120.0,130.5,97.84234599999999,114000
2000-03-09,131.25,135.0,121.5,123.0,92.219223,70800
2000-03-10,120.0,127.5,108.0,111.0,83.222229,171000
2000-03-13,109.875,126.75,108.375,113.25,84.909164,137600
2000-03-14,120.0,120.75,108.0,108.375,81.25413499999999,116900
2000-03-15,108.375,112.5,102.0,102.0,76.47448,92900
2000-03-16,105.375,115.5,103.5,115.125,86.314941,64500
2000-03-17,108.75,119.25,108.75,108.75,81.535286,42600
2000-03-20,108.75,114.0,107.25,108.0,80.972977,50300
2000-03-21,104.625,107.25,96.75,106.5,79.848351,87400
2000-03-22,110.25,118.5,107.25,118.5,88.845352,57400
2000-03-23,118.5,119.25,108.375,109.5,82.097603,67300
2000-03-24,112.5,115.5,108.75,111.375,83.50338,47300
2000-03-27,111.375,115.125,109.5,111.0,83.222229,30800
2000-03-28,109.5,111.75,103.5,104.25,78.161415,62100
2000-03-29,105.375,106.125,98.625,99.75,74.787544,74000
2000-03-30,98.25,99.75,89.25,92.25,69.164413,103800
2000-03-31,94.312202,106.875,90.0,106.5,79.848351,95400
2000-04-03,102.75,106.125,97.5,99.0,74.225227,41200
2000-04-04,100.5,102.0,79.5,100.875,75.631012,115600
2000-04-05,96.0,102.0,93.0,99.0,74.225227,58500
