Date,Open,High,Low,Close,Adj Close,Volume
2000-04-06,23.0,24.75,19.5,20.375,20.186685999999998,247500
2000-04-07,20.75,22.0,19.75,20.7187,20.52721,176300
2000-04-10,21.0625,24.0,19.75,20.0625,19.877075,115600
2000-04-11,20.0625,20.0625,18.4375,18.5,18.329017999999998,90700
2000-04-12,18.875,19.5,14.5625,15.875,15.728276999999999,314900
2000-04-13,16.1875,17.0,16.0,16.1875,16.037888,1152700
2000-04-14,15.6562,15.875,13.75,15.0,14.861364000000002,130200
2000-04-17,14.5,16.5,13.25,15.75,15.604432999999998,441600
2000-04-18,16.125,16.5,15.5,16.5,16.3475,161200
2000-04-19,16.625,20.25,16.0,18.6875,18.514782,157000
2000-04-20,18.875,18.875,17.75,18.6875,18.514782,56800
2000-04-24,16.75,19.5,16.5,19.0,18.824394,42700
2000-04-25,20.8125,20.875,18.25,19.25,19.072083,124800
2000-04-26,20.375,20.375,18.0625,18.125,17.957481,154000
2000-04-27,17.9062,18.5,17.0,17.5625,17.400181,109200
2000-04-28,17.375,19.25,17.375,18.625,18.45286,293800
2000-05-01,19.25,23.125,19.0,22.375,22.168201,229700
2000-05-02,21.0,22.5,20.375,22.125,21.920510999999998,65000
2000-05-03,21.875,22.875,20.75,21.125,20.929754,44400
2000-05-04,20.5,22.0,20.5,21.375,21.177443,75900
2000-05-05,21.25,21.625,20.0,21.25,21.053598,48400
2000-05-08,21.625,22.8125,21.0,21.875,21.672823,65400
2000-05-09,21.625,22.0625,21.25,21.75,21.548979,64200
2000-05-10,21.625,22.0,20.0,21.4375,21.239367,37000
2000-05-11,21.5,22.0625,21.5,22.0,21.796667000000003,134200
2000-05-12,22.0625,24.5,21.9375,23.375,23.158958,96900
2000-05-15,23.1875,24.75,22.25,24.75,24.521252,95300
2000-05-16,25.0,28.9375,25.0,28.9375,28.670047999999998,160500
2000-05-17,29.1875,31.875,27.6875,31.875,31.5804,115100
2000-05-18,32.0625,37.125,29.0,29.0,28.73197,286500
2000-05-19,29.6875,33.5,29.25,33.0,32.695,157200
2000-05-22,32.375,33.5,30.5,32.5,32.199622999999995,245900
2000-05-23,31.875,33.25,30.25,30.5625,30.280029,62700
2000-05-24,30.4375,31.0,29.625,30.0625,29.784651,145900
2000-05-25,30.0625,31.0,28.6875,29.375,29.103506,80900
2000-05-26,28.5,28.75,28.0625,28.125,27.865057,127000
2000-05-30,28.0,28.25,27.0,27.375,27.121990000000004,68400
2000-05-31,27.0,30.75,26.5,30.75,30.465796,288400
2000-06-01,32.0,32.0,29.125,29.625,29.351194,221200
