Date,Open,High,Low,Close,Adj Close,Volume
2000-04-07,154.0,168.0,119.0,131.25,131.25,1419800
2000-04-10,129.5,129.5,116.375,119.4375,119.4375,184900
2000-04-11,115.0625,115.5,100.625,105.0,105.0,254400
2000-04-12,101.9375,105.0,99.75,101.5,101.5,106800
2000-04-13,103.030899,103.25,77.0,78.75,78.75,113900
2000-04-14,80.5,92.75,77.0,82.25,82.25,143100
2000-04-17,78.3125,79.625,65.625,69.125,69.125,53800
2000-04-18,69.780899,82.25,69.125,77.4375,77.4375,57000
2000-04-19,77.875,83.5625,72.625,83.125,83.125,213500
2000-04-20,83.125,90.125,78.75,81.8125,81.8125,23200
2000-04-24,81.593399,82.25,73.5,73.5,73.5,27800
2000-04-25,73.9375,74.375,72.625,73.5,73.5,38300
2000-04-26,73.5,74.375,71.3125,72.1875,72.1875,77400
2000-04-27,70.0,70.4375,56.0,63.875,63.875,137700
2000-04-28,64.75,71.3125,63.875,68.25,68.25,80400
2000-05-01,70.0,92.3125,69.125,91.4375,91.4375,154900
2000-05-02,92.3125,95.375,80.5,84.0,84.0,98200
2000-05-03,81.8125,87.5,75.25,87.5,87.5,41600
2000-05-04,87.5,106.75,82.25,105.875,105.875,54500
2000-05-05,103.030899,108.5,95.375,103.25,103.25,40800
2000-05-08,102.8125,103.25,96.25,98.0,98.0,22500
2000-05-09,98.875,102.375,96.25,96.25,96.25,41500
2000-05-10,112.0,114.625,97.125,100.625,100.625,128300
2000-05-11,103.6875,103.6875,96.25,98.875,98.875,15000
2000-05-12,98.4375,99.3125,89.25,99.3125,99.3125,15100
2000-05-15,98.875,99.75,91.875,99.75,99.75,11200
2000-05-16,99.530899,99.75,94.5,98.875,98.875,9300
2000-05-17,98.655899,99.75,96.6875,99.75,99.75,8100
2000-05-18,99.530899,100.625,97.5625,97.5625,97.5625,6600
2000-05-19,97.5625,98.0,88.375,91.875,91.875,21800
2000-05-22,91.4375,92.3125,82.25,86.625,86.625,22800
2000-05-23,87.5,93.625,85.75,91.0,91.0,20500
2000-05-24,91.0,92.75,70.0,72.1875,72.1875,29000
2000-05-25,73.9375,79.625,73.9375,77.875,77.875,17700
2000-05-26,77.875,78.3125,70.0,70.875,70.875,14400
2000-05-30,71.968399,71.968399,63.875,70.0,70.0,53500
2000-05-31,66.5,70.875,66.0625,70.0,70.0,8300
2000-06-01,70.875,77.875,67.375,77.875,77.875,15400
2000-06-02,80.5,84.0,74.8125,83.125,83.125,17000
2000-06-05,81.375,102.8125,77.875,101.5,101.5,35100
2000-06-06,101.5,124.25,96.25,119.0,119.0,95000
2000-06-07,118.125,122.5,113.75,119.4375,119.4375,24800
2000-06-08,119.0,119.0,104.125,115.0625,115.0625,11600
2000-06-09,119.0,122.5,107.625,109.375,109.375,39200
2000-06-12,112.875,113.75,102.375,102.375,102.375,10600
2000-06-13,103.25,104.125,96.25,101.5,101.5,8200
2000-06-14,101.5,101.5,95.8125,98.0,98.0,8900
2000-06-15,97.125,97.125,90.125,90.125,90.125,12800
2000-06-16,89.6875,97.125,89.25,96.25,96.25,18300
2000-06-19,96.25,112.4375,91.875,110.25,110.25,26800
2000-06-20,116.375,147.875,115.5,140.875,140.875,248600
2000-06-21,147.875,175.0,146.125,168.0,168.0,402600
2000-06-22,173.25,182.0,147.0,154.4375,154.4375,128400
2000-06-23,163.625,175.0,156.1875,169.75,169.75,95600
2000-06-26,187.25,189.875,156.625,179.375,179.375,135900
2000-06-27,178.718399,189.4375,178.5,188.5625,188.5625,78100
2000-06-28,189.4375,288.75,189.0,245.0,245.0,415500
2000-06-29,254.952606,275.625,210.875,232.3125,232.3125,364800
2000-06-30,230.452606,252.4375,230.125,240.625,240.625,150900
2000-07-03,245.0,245.0,235.8125,235.8125,235.8125,36900
2000-07-05,231.65589900000003,252.875,227.5,252.0,252.0,109000
2000-07-06,257.468414,275.625,252.0,273.0,273.0,193900
2000-07-07,275.625,311.0625,267.75,299.6875,299.6875,221400
2000-07-10,307.5625,329.0,293.5625,322.4375,322.4375,148700
2000-07-11,332.9375,332.9375,287.875,300.5625,300.5625,145900
2000-07-12,306.25,315.0,287.875,291.375,291.375,63000
2000-07-13,294.218414,311.5,269.5,273.0,273.0,133000
2000-07-14,265.125,302.3125,245.875,300.5625,300.5625,106800
2000-07-17,295.093414,318.9375,287.875,316.75,316.75,43100
