Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,5.75,6.0,5.625,5.75,5.75,22500
2000-01-04,5.75,5.75,5.5,5.5,5.5,12200
2000-01-05,5.375,5.375,5.25,5.375,5.375,9100
2000-01-06,5.3125,5.625,5.1875,5.625,5.625,14900
2000-01-07,5.625,5.625,5.0,5.5,5.5,61700
2000-01-10,5.5,5.5625,5.375,5.5,5.5,36200
2000-01-11,5.5625,5.5625,5.25,5.375,5.375,26300
2000-01-12,5.25,5.375,4.875,5.375,5.375,46300
2000-01-13,5.375,5.375,5.125,5.3125,5.3125,23400
2000-01-14,5.25,5.375,4.75,5.1875,5.1875,82800
2000-01-18,5.0625,5.375,5.0625,5.25,5.25,50600
2000-01-19,5.25,5.375,5.25,5.375,5.375,16600
2000-01-20,5.375,6.1875,5.25,6.1875,6.1875,115200
2000-01-21,6.25,7.5,6.25,7.25,7.25,204000
2000-01-24,7.25,7.25,6.375,6.5,6.5,72000
2000-01-25,6.625,6.875,6.5,6.625,6.625,54700
2000-01-26,6.9375,7.25,6.75,7.0,7.0,44100
2000-01-27,7.0,7.25,6.75,6.9375,6.9375,37500
2000-01-28,7.0,7.0625,6.625,6.75,6.75,33300
2000-01-31,6.8125,6.8125,6.375,6.5,6.5,25500
2000-02-01,6.5,6.75,6.375,6.625,6.625,29100
2000-02-02,6.5,7.0,6.5,7.0,7.0,38600
2000-02-03,7.25,7.5,6.8125,6.875,6.875,61200
2000-02-04,6.9375,7.1875,6.75,7.1875,7.1875,46700
2000-02-07,7.1875,7.375,7.0,7.25,7.25,45200
2000-02-08,7.375,9.5,7.375,8.5,8.5,331900
2000-02-09,8.9375,8.9375,8.25,8.5625,8.5625,121200
2000-02-10,8.8125,9.375,8.625,9.0625,9.0625,130700
2000-02-11,9.4375,9.625,8.75,9.3125,9.3125,162900
2000-02-14,9.5,9.875,9.0,9.0625,9.0625,113500
2000-02-15,8.9375,9.125,8.625,8.875,8.875,65700
2000-02-16,9.125,9.125,8.5,8.5625,8.5625,73900
2000-02-17,8.5625,9.125,8.5,8.875,8.875,76800
2000-02-18,9.125,9.5,8.5,8.75,8.75,115600
2000-02-22,8.875,8.875,8.5,8.5625,8.5625,45800
2000-02-23,8.6875,9.0625,8.5625,9.0,9.0,89700
2000-02-24,9.0625,9.125,8.5,8.875,8.875,81500
2000-02-25,8.875,9.25,8.875,9.125,9.125,114600
2000-02-28,9.125,9.125,8.625,8.75,8.75,38300
2000-02-29,8.875,9.0,8.625,8.75,8.75,95700
2000-03-01,8.875,9.375,8.625,9.375,9.375,96000
2000-03-02,9.4375,10.875,9.4375,10.1875,10.1875,229800
2000-03-03,10.4375,10.4375,9.75,10.0,10.0,96700
2000-03-06,10.125,11.625,10.125,11.375,11.375,339500
2000-03-07,11.8125,12.375,10.125,10.625,10.625,238700
2000-03-08,11.0,12.125,10.8125,11.5625,11.5625,144000
2000-03-09,11.9375,12.25,11.375,11.5,11.5,106200
2000-03-10,11.75,11.875,11.0,11.375,11.375,96400
2000-03-13,11.125,11.875,10.625,11.0,11.0,174000
2000-03-14,11.125,11.125,9.5,10.0,10.0,115700
2000-03-15,9.875,10.0,8.75,9.0,9.0,157600
2000-03-16,9.0,9.75,8.0,9.75,9.75,171600
2000-03-17,9.875,9.875,9.0,9.375,9.375,74800
2000-03-20,9.125,9.125,8.3125,8.625,8.625,67000
2000-03-21,8.5,8.5625,7.875,8.375,8.375,116800
2000-03-22,8.125,8.375,7.6875,8.125,8.125,135700
2000-03-23,8.25,8.25,7.875,7.9375,7.9375,70500
2000-03-24,7.9375,9.125,7.9375,9.125,9.125,113600
2000-03-27,9.125,9.125,8.625,8.75,8.75,28000
2000-03-28,8.75,8.875,8.5,8.625,8.625,12800
2000-03-29,8.5,8.5,7.75,7.9375,7.9375,100200
2000-03-30,7.8125,8.0,7.375,8.0,8.0,48900
2000-03-31,8.125,8.125,7.75,8.0,8.0,46100
2000-04-03,7.75,7.9375,7.375,7.9375,7.9375,55700
