Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,49.0625,51.0,48.0,48.75,48.75,91900
2000-01-04,48.875,51.5,41.0625,43.5,43.5,103600
2000-01-05,43.25,43.5,41.0,43.0,43.0,68400
2000-01-06,43.4375,43.75,40.5,42.375,42.375,50200
2000-01-07,40.75,52.0,40.25,46.75,46.75,74300
2000-01-10,49.5,55.75,48.0,52.25,52.25,140800
2000-01-11,56.375,59.375,55.0,55.375,55.375,267500
2000-01-12,56.5625,57.0,53.625,54.5,54.5,36500
2000-01-13,53.0,54.0,50.9375,51.0,51.0,20000
2000-01-14,53.875,54.0,50.9375,53.625,53.625,71300
2000-01-18,56.0,61.75,55.0,60.0,60.0,189800
2000-01-19,60.4375,61.875,58.375,61.875,61.875,275200
2000-01-20,61.3125,70.625,61.25,68.125,68.125,117100
2000-01-21,68.3125,68.375,63.0,66.125,66.125,62000
2000-01-24,68.75,69.375,65.375,67.125,67.125,77700
2000-01-25,64.25,65.75,58.0,60.25,60.25,132400
2000-01-26,61.125,64.5,59.5,59.875,59.875,143000
2000-01-27,60.75,63.75,60.75,63.4375,63.4375,76700
2000-01-28,63.75,64.5,59.0,63.25,63.25,83600
2000-01-31,62.0,63.375,53.265598,59.375,59.375,149900
2000-02-01,57.125,59.625,57.125,58.75,58.75,68100
2000-02-02,57.0,57.984299,54.0,54.125,54.125,89500
2000-02-03,54.5625,55.0,53.0,54.5,54.5,55000
2000-02-04,54.5,61.375,53.625,60.25,60.25,109600
2000-02-07,64.625,66.375,60.4375,60.875,60.875,84300
2000-02-08,65.875,72.75,64.375,72.734299,72.734299,196600
2000-02-09,72.25,82.359299,72.125,77.625,77.625,229000
2000-02-10,77.5,79.109299,73.625,73.625,73.625,40500
2000-02-11,73.4375,75.0,65.125,66.125,66.125,39900
2000-02-14,68.125,68.25,66.625,67.5,67.5,23400
2000-02-15,71.125,81.375,68.5,81.375,81.375,75200
2000-02-16,78.0,85.484299,76.0,85.375,85.375,148200
2000-02-17,85.4375,92.75,83.75,89.25,89.25,164600
2000-02-18,93.0,94.0,89.25,93.125,93.125,65000
2000-02-22,94.3125,95.0,83.75,89.5,89.5,84400
2000-02-23,89.5,90.375,89.5,90.125,90.125,183900
2000-02-24,89.25,96.0,87.625,92.0,92.0,192300
2000-02-25,92.125,93.1875,91.0,93.0,93.0,95000
2000-02-28,95.0,95.25,92.875,93.5,93.5,27700
2000-02-29,94.375,95.0,92.875,93.0,93.0,72300
2000-03-01,93.5,93.5,89.25,89.4375,89.4375,135700
2000-03-02,90.5,91.75,84.25,87.125,87.125,65700
2000-03-03,85.0,88.0,79.75,80.3125,80.3125,98800
2000-03-06,81.125,81.125,69.0625,74.75,74.75,253100
2000-03-07,81.75,86.75,80.0,82.875,82.875,237000
2000-03-08,84.0,85.5,81.0,81.25,81.25,59700
2000-03-09,81.625,83.8125,76.1875,78.0,78.0,32800
2000-03-10,79.375,82.75,79.0,81.0,81.0,42800
2000-03-13,80.75,87.625,76.5,86.5,86.5,120900
2000-03-14,86.75,86.75,69.25,74.0,74.0,150400
2000-03-15,73.0,77.5,65.0,71.5,71.5,63100
2000-03-16,73.0,80.625,68.0,69.75,69.75,57500
2000-03-17,72.0,72.0,66.125,67.0,67.0,187400
2000-03-20,67.125,67.5,64.125,64.125,64.125,68900
2000-03-21,64.0,64.25,46.75,51.0,51.0,154800
2000-03-22,51.0,70.25,51.0,68.5,68.5,83200
2000-03-23,68.4375,73.5,64.765602,72.875,72.875,42300
2000-03-24,75.25,76.875,69.75,74.3125,74.3125,50000
2000-03-27,69.8125,73.5,69.375,73.5,73.5,25800
2000-03-28,73.0,74.0,61.0,67.5,67.5,58600
2000-03-29,64.0,67.875,57.5,58.75,58.75,123100
2000-03-30,59.0,59.0,54.875,55.0,55.0,96700
2000-03-31,54.5625,75.0,54.5,70.0,70.0,151000
2000-04-03,70.6875,70.6875,58.875,60.0,60.0,71000
2000-04-04,60.0,66.75,42.5,54.0,54.0,156200
2000-04-05,53.4375,56.0,44.5,52.0,52.0,218200
2000-04-06,56.0,63.5,54.0,62.5,62.5,114700
2000-04-07,62.875,70.0,62.875,68.125,68.125,78300
2000-04-10,67.0,74.0,65.375,65.375,65.375,58200
2000-04-11,64.0,64.5,57.015598,63.25,63.25,111200
2000-04-12,63.125,63.125,58.25,59.125,59.125,48000
2000-04-13,60.25,62.25,58.25,58.875,58.875,92000
2000-04-14,58.75,58.75,43.0,44.859299,44.859299,98800
2000-04-17,44.0,50.421799,36.75,38.875,38.875,177900
2000-04-18,39.8125,52.75,38.0,52.0,52.0,249600
2000-04-19,54.0,76.0,49.0,63.125,63.125,187500
2000-04-20,62.0,62.0,54.0,56.125,56.125,35100
2000-04-24,55.125,55.125,46.125,48.25,48.25,115200
2000-04-25,50.125,50.125,42.0,43.109299,43.109299,155700
2000-04-26,43.25,43.25,36.0,36.375,36.375,207100
2000-04-27,36.2812,45.0,35.0,41.875,41.875,228200
2000-04-28,44.5,48.0,38.140598,46.0,46.0,85500
2000-05-01,47.5,49.625,47.25,49.0,49.0,103200
2000-05-02,53.0,54.625,48.5625,53.625,53.625,216400
2000-05-03,55.375,57.375,48.875,53.5,53.5,181600
2000-05-04,56.0,57.0,52.125,57.0,57.0,119100
2000-05-05,57.25,59.0,55.0,55.0,55.0,39600
2000-05-08,55.5,55.5,50.375,50.875,50.875,44200
2000-05-09,51.75,51.75,43.0,46.625,46.625,74100
2000-05-10,44.0,47.5625,43.125,47.4375,47.4375,87200
2000-05-11,48.5,49.75,45.5625,46.0,46.0,23500
2000-05-12,48.0,48.125,41.25,42.0,42.0,84100
2000-05-15,43.875,43.875,40.25,40.25,40.25,50500
2000-05-16,45.0,45.4687,43.0,44.0625,44.0625,145000
2000-05-17,44.0,45.0,41.25,43.125,43.125,99500
2000-05-18,43.0,43.625,41.6875,42.0625,42.0625,69100
2000-05-19,42.0625,42.125,40.8125,42.0,42.0,27300
2000-05-22,43.125,43.125,38.125,39.8125,39.8125,87600
2000-05-23,40.5,40.875,34.75,34.75,34.75,78500
2000-05-24,35.9375,36.0,29.0,32.5625,32.5625,152600
2000-05-25,32.8125,37.25,32.8125,33.0625,33.0625,53700
2000-05-26,28.5,32.0,9.5,10.0,10.0,7036700
2000-05-30,11.0,11.0625,9.875,10.0,10.0,1863600
2000-05-31,10.3125,10.625,10.0,10.4375,10.4375,733900
2000-06-01,10.625,12.25,10.3125,12.125,12.125,1111100
2000-06-02,13.4687,13.625,11.75,12.5,12.5,564300
2000-06-05,12.375,12.4375,11.75,12.1875,12.1875,333000
2000-06-06,12.1875,14.25,12.125,13.25,13.25,584200
2000-06-07,13.6562,14.5,12.375,13.3125,13.3125,317200
