Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,29.875,30.25,28.8125,30.0,28.154435999999997,352900
2000-01-04,30.1562,30.25,28.125,28.3125,26.570749,1301600
2000-01-05,29.5937,29.875,29.0625,29.875,28.037127,829400
2000-01-06,30.5,32.0,30.5,31.5625,29.620813000000002,611300
2000-01-07,33.0,34.625,33.0,34.375,32.260284000000006,733300
2000-01-10,35.75,36.0,34.0,34.125,32.025677,738400
2000-01-11,34.8125,34.921799,32.5,33.0,30.969884999999998,151900
2000-01-12,32.5937,32.9375,32.4375,32.75,30.735253999999998,301800
2000-01-13,34.0,34.375,33.75,34.375,32.260284000000006,584100
2000-01-14,36.75,37.1875,35.875,36.0625,33.843987,1789900
2000-01-18,36.7187,38.75,36.5625,38.5,36.131538,433300
2000-01-19,38.5625,42.375,38.5,42.0,39.416203,454900
2000-01-20,42.75,45.25,42.5,44.25,41.52779,693000
2000-01-21,42.75,42.75,41.375,41.5625,39.005623,1261300
2000-01-24,41.9375,42.3125,41.625,41.8125,39.240246,337400
2000-01-25,42.0937,42.125,41.375,41.5625,39.005623,251400
2000-01-26,43.75,44.75,43.75,44.0,41.293163,432500
2000-01-27,44.75,46.0,44.375,45.0,42.231651,584100
2000-01-28,44.75,44.75,41.625,41.75,39.18158,270200
2000-01-31,42.125,42.375,39.375,40.6875,38.184447999999996,265500
2000-02-01,41.25,41.5625,40.375,40.375,37.891182,196300
2000-02-02,41.0,41.0,39.125,39.5,37.070015000000005,252900
2000-02-03,39.5,40.0,37.0,37.5,35.193031,463300
2000-02-04,37.6875,37.875,36.625,37.125,34.841125,408200
2000-02-07,37.25,37.875,36.625,37.25,34.958420000000004,289000
2000-02-08,37.375,38.125,37.0,37.875,35.544975,550800
2000-02-09,39.75,40.375,39.0,39.625,37.187317,300800
2000-02-10,41.5,42.125,41.0,41.625,39.064281,239400
2000-02-11,41.125,41.5,40.5,40.75,38.243111,136500
2000-02-14,40.9375,41.25,40.5,41.1875,38.653694,226200
2000-02-15,41.375,43.125,41.375,42.8125,40.178722,90100
2000-02-16,44.375,45.0,43.6875,44.875,42.114349,163500
2000-02-17,45.125,45.375,44.25,44.5,41.762423999999996,243900
2000-02-18,45.625,46.75,45.0,46.375,43.522053,414400
2000-02-22,46.625,47.625,46.5,47.0625,44.167266999999995,388300
2000-02-23,47.5,48.625,47.5,48.0,45.047104,430600
2000-02-24,49.25,49.5,47.0,47.5,44.577853999999995,429000
2000-02-25,47.125,47.625,47.0,47.1875,44.28458,304700
2000-02-28,47.75,48.25,47.0,48.0,45.047104,530100
